# 8288b625-90b8-4275-83ed-3842478966d0
# 603fd3987364b09f9aacb70d1ed12c268e24dd56
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000;-0.4108859;-0.6907978;5.6364428;-0.0002925;8.0000000;0.0000000
0.1999652;-0.2513070;-0.8112995;5.6363842;-0.0002937;8.0000000;0.0000000
0.3999304;-0.0917352;-0.9318106;5.6363254;-0.0002949;8.0000000;0.0000000
0.5998957;0.0678296;-1.0523311;5.6362663;-0.0002961;8.0000000;0.0000000
0.7998609;0.2273872;-1.1728610;5.6362069;-0.0002974;8.0000000;0.0000000
0.9998261;0.3869376;-1.2934004;5.6361473;-0.0002986;8.0000000;0.0000000
1.1997913;0.5464808;-1.4139494;5.6360875;-0.0002999;8.0000000;0.0000000
1.3997566;0.7060168;-1.5345079;5.6360274;-0.0003012;8.0000000;0.0000000
1.5997218;0.8655456;-1.6550760;5.6359670;-0.0003025;8.0000000;0.0000000
1.7996870;1.0250670;-1.7756538;5.6359064;-0.0003038;8.0000000;0.0000000
1.9996522;1.1845811;-1.8962413;5.6358455;-0.0003051;8.0000000;0.0000000
2.1996175;1.3440879;-2.0168385;5.6357844;-0.0003064;8.0000000;0.0000000
2.3995827;1.5035873;-2.1374454;5.6357230;-0.0003077;8.0000000;0.0000000
2.5995479;1.6630792;-2.2580622;5.6356614;-0.0003090;8.0000000;0.0000000
2.7995131;1.8225637;-2.3786888;5.6355994;-0.0003103;8.0000000;0.0000000
2.9994784;1.9820407;-2.4993254;5.6355373;-0.0003116;8.0000000;0.0000000
3.1994436;2.1415102;-2.6199718;5.6354748;-0.0003128;8.0000000;0.0000000
3.3994088;2.3009722;-2.7406283;5.6354122;-0.0003141;8.0000000;0.0000000
3.5993740;2.4604266;-2.8612947;5.6353492;-0.0003154;8.0000000;0.0000000
3.7993392;2.6198733;-2.9819712;5.6352860;-0.0003166;8.0000000;0.0000000
3.9993045;2.7793124;-3.1026578;5.6352226;-0.0003178;8.0000000;0.0000000
4.1992697;2.9387439;-3.2233546;5.6351589;-0.0003190;8.0000000;0.0000000
4.3992349;3.0981677;-3.3440615;5.6350950;-0.0003202;8.0000000;0.0000000
4.5992001;3.2575837;-3.4647786;5.6350309;-0.0003213;8.0000000;0.0000000
4.7991654;3.4169920;-3.5855059;5.6349665;-0.0003225;8.0000000;0.0000000
4.9991306;3.5763924;-3.7062436;5.6349019;-0.0003236;8.0000000;0.0000000
5.1990958;3.7357851;-3.8269915;5.6348371;-0.0003246;8.0000000;0.0000000
5.3990610;3.8951699;-3.9477498;5.6347721;-0.0003257;8.0000000;0.0000000
5.5990263;4.0545469;-4.0685185;5.6347069;-0.0003267;8.0000000;0.0000000
5.7989915;4.2139160;-4.1892976;5.6346414;-0.0003276;8.0000000;0.0000000
5.9989567;4.3732771;-4.3100871;5.6345758;-0.0003286;8.0000000;0.0000000
6.1989219;4.5326304;-4.4308871;5.6345100;-0.0003295;8.0000000;0.0000000
6.3988872;4.6919756;-4.5516976;5.6344441;-0.0003304;8.0000000;0.0000000
6.5988524;4.8513129;-4.6725186;5.6343779;-0.0003312;8.0000000;0.0000000
6.7988176;5.0106422;-4.7933502;5.6343116;-0.0003320;8.0000000;0.0000000
6.9987828;5.1699635;-4.9141923;5.6342451;-0.0003327;8.0000000;0.0000000
7.1987481;5.3292767;-5.0350451;5.6341785;-0.0003334;8.0000000;0.0000000
7.3987133;5.4885819;-5.1559085;5.6341118;-0.0003341;8.0000000;0.0000000
7.5986785;5.6478790;-5.2767825;5.6340449;-0.0003347;8.0000000;0.0000000
7.7986437;5.8071680;-5.3976672;5.6339779;-0.0003353;8.0000000;0.0000000
7.9986089;5.9664489;-5.5185625;5.6339109;-0.0003358;8.0000000;0.0000000
8.1985742;6.1257216;-5.6394686;5.6338437;-0.0003363;8.0000000;0.0000000
8.3985394;6.2849863;-5.7603853;5.6337764;-0.0003367;8.0000000;0.0000000
8.5985046;6.4442428;-5.8813128;5.6337090;-0.0003371;8.0000000;0.0000000
8.7984698;6.6034911;-6.0022510;5.6336416;-0.0003374;8.0000000;0.0000000
8.9984351;6.7627313;-6.1232000;5.6335741;-0.0003378;8.0000000;0.0000000
9.1984003;6.9219634;-6.2441597;5.6335065;-0.0003380;8.0000000;0.0000000
9.3983655;7.0811872;-6.3651302;5.6334389;-0.0003382;8.0000000;0.0000000
9.5983307;7.2404029;-6.4861114;5.6333712;-0.0003383;8.0000000;0.0000000
9.7982960;7.3996104;-6.6071034;5.6333036;-0.0003384;8.0000000;0.0000000
9.9982612;7.5588097;-6.7281062;5.6332359;-0.0003385;8.0000000;0.0000000
10.1982264;7.7180008;-6.8491198;5.6331682;-0.0003385;8.0000000;0.0000000
10.3981916;7.8771837;-6.9701441;5.6331006;-0.0003384;8.0000000;0.0000000
10.5981569;8.0363584;-7.0911792;5.6330329;-0.0003383;8.0000000;0.0000000
10.7981221;8.1955250;-7.2122251;5.6329653;-0.0003382;8.0000000;0.0000000
10.9980873;8.3546833;-7.3332817;5.6328977;-0.0003380;8.0000000;0.0000000
11.1980525;8.5138335;-7.4543491;5.6328301;-0.0003377;8.0000000;0.0000000
11.3980177;8.6729755;-7.5754273;5.6327626;-0.0003374;8.0000000;0.0000000
