# x_m, y_m, w_tr_right_m, w_tr_left_m
0.0, 0.0, 1.1, 1.1
0.4161633664378022, 0.1867735919425475, 1.1, 1.1
0.8334651694798328, 0.3710359803464168, 1.1, 1.1
1.2517692639342497, 0.5531059931609011, 1.1, 1.1
1.6709362196045643, 0.7333090283445275, 1.1, 1.1
2.0908266975444376, 0.9119703013555718, 1.1, 1.1
2.511301358807507, 1.0894151189024415, 1.1, 1.1
2.9322208644474386, 1.2659687876935435, 1.1, 1.1
3.3534457842677443, 1.4419567056874278, 1.1, 1.1
3.7748367793220674, 1.6177040883423595, 1.1, 1.1
4.196254601914205, 1.7935362423667451, 1.1, 1.1
4.617559821847665, 1.969778474468981, 1.1, 1.1
5.038613100176095, 2.146756091357508, 1.1, 1.1
5.459276922955729, 2.32478956348388, 1.1, 1.1
5.8795532976893865, 2.5038329920334417, 1.1, 1.1
6.299678197209595, 2.683226091075738, 1.1, 1.1
6.719909859380247, 2.86224999209778, 1.1, 1.1
7.140506704565492, 3.040185461586064, 1.1, 1.1
7.561727061879367, 3.216313631027578, 1.1, 1.1
7.9838291691857615, 3.389915449409081, 1.1, 1.1
8.407071446848834, 3.560271865717309, 1.1, 1.1
8.831712223982601, 3.7266639201891527, 1.1, 1.1
9.258009738450967, 3.8883724705612175, 1.1, 1.1
9.686222410618084, 4.044678739570645, 1.1, 1.1
10.116608569597966, 4.194863402453789, 1.1, 1.1
10.549426362004402, 4.33820768194779, 1.1, 1.1
10.984874439367307, 4.4741079584520556, 1.1, 1.1
11.422843484032645, 4.602552095699478, 1.1, 1.1
11.863126266958385, 4.72371748394004, 1.1, 1.1
12.305515376602271, 4.837781148423172, 1.1, 1.1
12.74980349267215, 4.944920479398867, 1.1, 1.1
13.195783203625728, 5.045312684616831, 1.1, 1.1
13.643255310432336, 5.1389211727754995, 1.1, 1.1
14.092188605547971, 5.221326243896847, 1.1, 1.1
14.542709196650366, 5.284000938465069, 1.1, 1.1
14.994948210174261, 5.318411635705011, 1.1, 1.1
15.448960122446444, 5.325336699213476, 1.1, 1.1
15.904680328375878, 5.320107975595408, 1.1, 1.1
16.362013927828833, 5.318755466189517, 1.1, 1.1
16.82047218511661, 5.32607947526016, 1.1, 1.1
17.279205561542057, 5.3365851025641975, 1.1, 1.1
17.737351104639163, 5.344397026072397, 1.1, 1.1
18.194045861941884, 5.343639650005134, 1.1, 1.1
18.648426972234333, 5.328437469832934, 1.1, 1.1
19.09967437061091, 5.293047932463673, 1.1, 1.1
19.54779316707879, 5.2342791083994085, 1.1, 1.1
19.993531430192135, 5.1512369288802855, 1.1, 1.1
20.43762481848761, 5.043121039028473, 1.1, 1.1
20.87866807998498, 4.909767827363411, 1.1, 1.1
21.31204532692978, 4.751968523750069, 1.1, 1.1
21.733001880121915, 4.570569929381723, 1.1, 1.1
22.139085666106038, 4.366001467363489, 1.1, 1.1
22.529870729281928, 4.1383250965326805, 1.1, 1.1
22.90500046414707, 3.887590274458981, 1.1, 1.1
23.264118173948823, 3.6138463674619765, 1.1, 1.1
23.606867253184664, 3.317142833111338, 1.1, 1.1
23.932889818850303, 2.99753186648063, 1.1, 1.1
24.24139172107664, 2.656138764155555, 1.1, 1.1
24.53048837095802, 2.2967711202516123, 1.1, 1.1
24.798127644352665, 1.9236481582143135, 1.1, 1.1
25.042096543142144, 1.5399405462616325, 1.1, 1.1
25.259465573198334, 1.1441376385148343, 1.1, 1.1
25.447116443877086, 0.7334307560160584, 1.1, 1.1
25.605697578592153, 0.30736711562725677, 1.1, 1.1
25.745041726199354, -0.12876214394554614, 1.1, 1.1
25.876355223740156, -0.5688067640356836, 1.1, 1.1
26.007793733957104, -1.0079290278260753, 1.1, 1.1
26.134256648412684, -1.4469951727873955, 1.1, 1.1
26.247053852361194, -1.888417761069305, 1.1, 1.1
26.340508766553445, -2.3337744161449097, 1.1, 1.1
26.416144446885685, -2.7826491286779995, 1.1, 1.1
26.476536245736956, -3.2343342539213866, 1.1, 1.1
26.524259424236217, -3.6881223296281473, 1.1, 1.1
26.561889152262253, -4.14330589355138, 1.1, 1.1
26.59199932219208, -4.5991779396947825, 1.1, 1.1
26.616791069627446, -5.055217703574513, 1.1, 1.1
26.637592631440032, -5.5113402313208795, 1.1, 1.1
26.655607414325612, -5.967522801651858, 1.1, 1.1
26.672038916230107, -6.423742510785177, 1.1, 1.1
26.688090543849306, -6.8799766374388005, 1.1, 1.1
26.704965703878987, -7.33620246033073, 1.1, 1.1
26.72362617267444, -7.792399356931895, 1.1, 1.1
26.743188466490697, -8.248562308485223, 1.1, 1.1
26.76191819413375, -8.70469377874419, 1.1, 1.1
26.77807667565352, -9.160796413962524, 1.1, 1.1
26.789924957349566, -9.616872586643579, 1.1, 1.1
26.79572408552142, -10.072924760540795, 1.1, 1.1
26.793946441766444, -10.528953574405119, 1.1, 1.1
26.784641666154602, -10.984944884466575, 1.1, 1.1
26.768573887262637, -11.440878250696382, 1.1, 1.1
26.74651024492159, -11.89673295931536, 1.1, 1.1
26.71921833521312, -12.352488479044553, 1.1, 1.1
26.68746538921836, -12.808124187354915, 1.1, 1.1
26.65201891176887, -13.263619461717385, 1.1, 1.1
26.613646225195875, -13.718953679602901, 1.1, 1.1
26.573114743080833, -14.174106127232287, 1.1, 1.1
26.5311918790051, -14.62905645582684, 1.1, 1.1
26.4886450465501, -15.08378376910714, 1.1, 1.1
26.446241568047128, -15.538267627044364, 1.1, 1.1
26.40465240569164, -15.992496349622082, 1.1, 1.1
26.363857940706012, -16.44652249691432, 1.1, 1.1
26.323537337638104, -16.900426642784655, 1.1, 1.1
26.28336857478419, -17.354289452346737, 1.1, 1.1
26.243029539190317, -17.8081914994641, 1.1, 1.1
26.202198209152733, -18.262213540500557, 1.1, 1.1
26.160552471717516, -18.716436240569784, 1.1, 1.1
26.11777039643104, -19.170940264785436, 1.1, 1.1
26.07352977908924, -19.62580636951131, 1.1, 1.1
26.02750859798836, -20.081115037360828, 1.1, 1.1
25.979384922674743, -20.5369471159479, 1.1, 1.1
25.928836548944368, -20.993383087885963, 1.1, 1.1
25.875299094751906, -21.45039795063977, 1.1, 1.1
25.80996938644236, -21.904368709103963, 1.1, 1.1
25.713984014934294, -22.347279221982586, 1.1, 1.1
25.567917744104594, -22.770847901355594, 1.1, 1.1
25.359894552218112, -23.167060522179742, 1.1, 1.1
25.09355988191185, -23.528452641436488, 1.1, 1.1
24.774563758647552, -23.847835573995862, 1.1, 1.1
24.411484424513258, -24.12446973756569, 1.1, 1.1
24.01632181891874, -24.36515089422223, 1.1, 1.1
23.601246884014714, -24.577010515264835, 1.1, 1.1
23.175550525393465, -24.75571996834377, 1.1, 1.1
22.742869516929787, -24.874452263155717, 1.1, 1.1
22.306324339270894, -24.904369074063073, 1.1, 1.1
21.87322531396816, -24.834607985759042, 1.1, 1.1
21.455667371815192, -24.674831291859256, 1.1, 1.1
21.06600003146434, -24.43583735008025, 1.1, 1.1
20.71589482311259, -24.130100052999662, 1.1, 1.1
20.41575325766723, -23.77323302761948, 1.1, 1.1
20.175835590836567, -23.381194278926944, 1.1, 1.1
20.001918138260283, -22.96741929335474, 1.1, 1.1
19.885242347596265, -22.537167545814253, 1.1, 1.1
19.814109861109717, -22.094044967636812, 1.1, 1.1
19.776822412316, -21.641657216403306, 1.1, 1.1
19.76168155223022, -21.183610223445076, 1.1, 1.1
19.75699029186951, -20.723509555092896, 1.1, 1.1
