# c85859c6-a2f2-4911-94c1-ad63b81deff2
# 603fd3987364b09f9aacb70d1ed12c268e24dd56
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000;-0.5186965;0.6512563;0.4201389;-0.0025697;8.0000000;0.0000000
0.1999158;-0.3361460;0.7327504;0.4195969;-0.0028531;8.0000000;0.0000000
0.3998317;-0.1535479;0.8141410;0.4189982;-0.0031365;8.0000000;0.0000000
0.5997475;0.0291008;0.8954168;0.4183428;-0.0034200;8.0000000;0.0000000
0.7996634;0.2118049;0.9765677;0.4176308;-0.0037035;8.0000000;0.0000000
0.9995792;0.3945700;1.0575837;0.4168620;-0.0039871;8.0000000;0.0000000
1.1994950;0.5773981;1.1384534;0.4160366;-0.0042709;8.0000000;0.0000000
1.3994109;0.7602962;1.2191673;0.4151544;-0.0045547;8.0000000;0.0000000
1.5993267;0.9432674;1.2997146;0.4142154;-0.0048386;8.0000000;0.0000000
1.7992426;1.1263163;1.3800847;0.4132197;-0.0051227;8.0000000;0.0000000
1.9991584;1.3094483;1.4602678;0.4121672;-0.0054067;8.0000000;0.0000000
2.1990742;1.4926655;1.5402522;0.4110579;-0.0056909;8.0000000;0.0000000
2.3989901;1.6759744;1.6200286;0.4098918;-0.0059752;8.0000000;0.0000000
2.5989059;1.8593783;1.6995858;0.4086689;-0.0062595;8.0000000;0.0000000
2.7988217;2.0428814;1.7789134;0.4073891;-0.0065439;8.0000000;0.0000000
2.9987376;2.2264890;1.8580012;0.4060524;-0.0068283;8.0000000;0.0000000
3.1986534;2.4102032;1.9368377;0.4046589;-0.0071130;8.0000000;0.0000000
3.3985693;2.5940300;2.0154133;0.4032084;-0.0073976;8.0000000;0.0000000
3.5984851;2.7779727;2.0937169;0.4017011;-0.0076823;8.0000000;0.0000000
3.7984009;2.9620352;2.1717377;0.4001368;-0.0079670;8.0000000;0.0000000
3.9983168;3.1462223;2.2494656;0.3985156;-0.0082517;8.0000000;0.0000000
4.1982326;3.3305362;2.3268887;0.3968340;-0.0085715;8.0000000;0.0000000
4.3981485;3.5149836;2.4039964;0.3950885;-0.0088913;8.0000000;0.0000000
4.5980643;3.6995672;2.4807757;0.3932741;-0.0093101;8.0000000;0.0000000
4.7979801;3.8842933;2.5572110;0.3913609;-0.0098299;8.0000000;0.0000000
4.9978960;4.0691714;2.6332841;0.3893438;-0.0103497;8.0000000;0.0000000
5.1978118;4.2542041;2.7089715;0.3871939;-0.0111605;8.0000000;0.0000000
5.3977277;4.4394073;2.7842466;0.3848815;-0.0119730;8.0000000;0.0000000
5.5976435;4.6247897;2.8590781;0.3824059;-0.0128006;8.0000000;0.0000000
5.7975593;4.8103625;2.9334347;0.3797626;-0.0136435;8.0000000;0.0000000
5.9974752;4.9961389;3.0072854;0.3769508;-0.0144865;8.0000000;0.0000000
6.1973910;5.1821261;3.0805970;0.3739715;-0.0153190;8.0000000;0.0000000
6.3973068;5.3683385;3.1533392;0.3708258;-0.0161516;8.0000000;0.0000000
6.5972227;5.5547844;3.2254796;0.3675136;-0.0169837;8.0000000;0.0000000
6.7971385;5.7414738;3.2969865;0.3640352;-0.0178154;8.0000000;0.0000000
6.9970544;5.9284181;3.3678285;0.3603904;-0.0186472;8.0000000;0.0000000
7.1969702;6.1156231;3.4379723;0.3565798;-0.0194751;8.0000000;0.0000000
7.3968860;6.3031011;3.5073873;0.3526037;-0.0203032;8.0000000;0.0000000
7.5968019;6.4908591;3.5760406;0.3484620;-0.0211295;8.0000000;0.0000000
7.7967177;6.6789050;3.6439001;0.3441555;-0.0219540;8.0000000;0.0000000
7.9966336;6.8672479;3.7109340;0.3396841;-0.0227789;8.0000000;0.0000000
8.1965494;7.0558928;3.7771090;0.3350478;-0.0236030;8.0000000;0.0000000
8.3964652;7.2448486;3.8423934;0.3302468;-0.0244277;8.0000000;0.0000000
8.5963811;7.4341209;3.9067542;0.3252808;-0.0252524;8.0000000;0.0000000
