# 0fee35f8-ea10-445c-b54d-aa7e25a6fa8e
# 603fd3987364b09f9aacb70d1ed12c268e24dd56
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000;-0.5336119;-0.6220398;2.4497386;-0.0000199;8.0000000;0.0000000
0.1999860;-0.6876137;-0.4944553;2.4497349;-0.0000179;8.0000000;0.0000000
0.3999720;-0.8416152;-0.3668702;2.4497315;-0.0000159;8.0000000;0.0000000
0.5999580;-0.9956162;-0.2392846;2.4497285;-0.0000140;8.0000000;0.0000000
0.7999440;-1.1496168;-0.1116985;2.4497259;-0.0000121;8.0000000;0.0000000
0.9999300;-1.3036172;0.0158878;2.4497237;-0.0000102;8.0000000;0.0000000
1.1999160;-1.4576173;0.1434746;2.4497218;-0.0000083;8.0000000;0.0000000
1.3999020;-1.6116172;0.2710615;2.4497203;-0.0000064;8.0000000;0.0000000
1.5998879;-1.7656169;0.3986487;2.4497193;-0.0000045;8.0000000;0.0000000
1.7998739;-1.9196165;0.5262360;2.4497186;-0.0000026;8.0000000;0.0000000
1.9998599;-2.0736160;0.6538234;2.4497182;-0.0000007;8.0000000;0.0000000
2.1998459;-2.2276155;0.7814108;2.4497183;0.0000011;8.0000000;0.0000000
2.3998319;-2.3816151;0.9089981;2.4497187;0.0000029;8.0000000;0.0000000
2.5998179;-2.5356147;1.0365854;2.4497194;0.0000048;8.0000000;0.0000000
2.7998039;-2.6896145;1.1641726;2.4497206;0.0000066;8.0000000;0.0000000
2.9997899;-2.8436144;1.2917595;2.4497221;0.0000084;8.0000000;0.0000000
3.1997759;-2.9976145;1.4193462;2.4497239;0.0000102;8.0000000;0.0000000
3.3997619;-3.1516149;1.5469325;2.4497262;0.0000120;8.0000000;0.0000000
3.5997479;-3.3056156;1.6745185;2.4497288;0.0000138;8.0000000;0.0000000
3.7997339;-3.4596166;1.8021041;2.4497317;0.0000156;8.0000000;0.0000000
3.9997199;-3.6136181;1.9296891;2.4497350;0.0000174;8.0000000;0.0000000
4.1997059;-3.7676200;2.0572737;2.4497386;0.0000191;8.0000000;0.0000000
4.3996919;-3.9216223;2.1848576;2.4497426;0.0000209;8.0000000;0.0000000
4.5996779;-4.0756252;2.3124409;2.4497470;0.0000226;8.0000000;0.0000000
4.7996638;-4.2296287;2.4400236;2.4497517;0.0000243;8.0000000;0.0000000
