# x_m, y_m, w_tr_right_m, w_tr_left_m
0.0, 0.0, 1.1, 1.1
-0.24284055666958826, -0.37651218959437943, 1.1, 1.1
-0.4856639049958007, -0.753035134403379, 1.1, 1.1
-0.7284709412465178, -1.1295682966662486, 1.1, 1.1
-0.9712630098235738, -1.5061109593687003, 1.1, 1.1
-1.2140410966216317, -1.8826623158696223, 1.1, 1.1
-1.4568064564157437, -2.259221649154727, 1.1, 1.1
-1.699560164727355, -2.635788331836468, 1.1, 1.1
-1.9423034763315037, -3.0123616469005565, 1.1, 1.1
-2.1850373771228666, -3.388940787705896, 1.1, 1.1
-2.427763121876482, -3.765525126864953, 1.1, 1.1
-2.670481875740605, -4.142113947363439, 1.1, 1.1
-2.913194624609913, -4.518706442560258, 1.1, 1.1
-3.155902712886212, -4.895301985067874, 1.1, 1.1
-3.3986071264641793, -5.271899857871989, 1.1, 1.1
-3.641309120118867, -5.648499254331517, 1.1, 1.1
-3.8840097693717337, -6.025099547058925, 1.1, 1.1
-4.126710328997804, -6.401700108666695, 1.1, 1.1
-4.3694117848917555, -6.778300042886945, 1.1, 1.1
-4.612115302201857, -7.154898722332158, 1.1, 1.1
-4.854822135703118, -7.531495340361234, 1.1, 1.1
-5.097533360917012, -7.908089359213452, 1.1, 1.1
-5.340250142991781, -8.2846799722477, 1.1, 1.1
-5.582973647075696, -8.661266462449689, 1.1, 1.1
-5.8257049486902, -9.037848112805104, 1.1, 1.1
-6.068445212983536, -9.414424116672848, 1.1, 1.1
-6.311195605103973, -9.790993936292184, 1.1, 1.1
-6.55395720057297, -10.167556854648824, 1.1, 1.1
-6.796729909763719, -10.544112782115958, 1.1, 1.1
-7.039513105288726, -10.92066234608112, 1.1, 1.1
-7.282305711626504, -11.29720608430503, 1.1, 1.1
-7.525107011762767, -11.673744444921631, 1.1, 1.1
-7.7679161094296205, -12.050277965691658, 1.1, 1.1
-8.010732287612761, -12.42680727400263, 1.1, 1.1
-8.253554560417514, -12.80333281798849, 1.1, 1.1
-8.496382121202782, -13.179855225036754, 1.1, 1.1
-8.739214163327464, -13.556374853654578, 1.1, 1.1
-8.982049790523696, -13.932892420856268, 1.1, 1.1
-9.224888196150367, -14.309408374775769, 1.1, 1.1
-9.467728573566376, -14.685923342800592, 1.1, 1.1
-9.71057002650386, -15.062437683437905, 1.1, 1.1
-9.953411748321702, -15.438952024075203, 1.1, 1.1
-10.196252842752013, -15.81546690247325, 1.1, 1.1
-10.439092592780517, -16.191982856392745, 1.1, 1.1
-10.681929922885715, -16.568500423594433, 1.1, 1.1
-10.924764295306908, -16.94502014183904, 1.1, 1.1
-11.167594634522613, -17.32154245926052, 1.1, 1.1
-11.410420133891757, -17.69806800324638, 1.1, 1.1
-11.653239986773217, -18.07459731155735, 1.1, 1.1
-11.89605338652592, -18.45113083232738, 1.1, 1.1
-12.138859436881962, -18.827669192943983, 1.1, 1.1
-12.38165742082705, -19.20421293116789, 1.1, 1.1
-12.624446262839728, -19.580762495133055, 1.1, 1.1
-12.86722533553245, -19.95731842260019, 1.1, 1.1
-13.109993653010578, -20.33388134095682, 1.1, 1.1
-13.352750498259784, -20.7104516983369, 1.1, 1.1
-13.595494885385392, -21.087030032501136, 1.1, 1.1
-13.8382260973731, -21.463616881210275, 1.1, 1.1
-14.08094323795504, -21.840212871851833, 1.1, 1.1
-14.323645410863307, -22.216818362932973, 1.1, 1.1
-14.566331899083597, -22.593434071467982, 1.1, 1.1
-14.809001806348016, -22.97006044559082, 1.1, 1.1
-15.051654236388712, -23.346698023062213, 1.1, 1.1
-15.294288472191356, -23.723347252016094, 1.1, 1.1
-15.53690352786127, -24.100008849466786, 1.1, 1.1
-15.77949859675737, -24.47668317392143, 1.1, 1.1
-16.022072872238546, -24.85337085276755, 1.1, 1.1
-16.264625547663726, -25.230072423765865, 1.1, 1.1
-16.507155726765006, -25.606788424677127, 1.1, 1.1
-16.749662602901296, -25.983519303635262, 1.1, 1.1
-16.992145279804703, -26.36026559840101, 1.1, 1.1
-17.234602950834145, -26.73702793636189, 1.1, 1.1
-17.47703471972174, -27.113806855278618, 1.1, 1.1
-17.719439869453176, -27.490602803285153, 1.1, 1.1
-17.96181741413377, -27.867416407769003, 1.1, 1.1
-18.204166636749225, -28.24424802723733, 1.1, 1.1
-18.446486551404853, -28.621098378704446, 1.1, 1.1
-18.688776530713156, -28.997967999931063, 1.1, 1.1
-18.931035499152664, -29.37485724942435, 1.1, 1.1
-19.173262739709074, -29.75176675457181, 1.1, 1.1
-19.41545744574128, -30.12869714276098, 1.1, 1.1
-19.657618631354623, -30.505648862125796, 1.1, 1.1
-19.899745579534784, -30.882622360800195, 1.1, 1.1
-20.141837394013876, -31.259618355798484, 1.1, 1.1
-20.383893357777616, -31.636637205627828, 1.1, 1.1
-20.62591239530451, -32.01367953767575, 1.1, 1.1
-20.867894685848157, -32.39074544156901, 1.1, 1.1
-21.109841753063943, -32.767833662532595, 1.1, 1.1
-21.351755658368027, -33.14494303541825, 1.1, 1.1
-21.59363828392294, -33.52207239507771, 1.1, 1.1
-21.83549151189127, -33.89922048673596, 1.1, 1.1
-22.077317403689108, -34.276386055617955, 1.1, 1.1
-22.319117751852257, -34.65356784694865, 1.1, 1.1
-22.560894528170042, -35.03076469557981, 1.1, 1.1
-22.802649614805038, -35.40797525710959, 1.1, 1.1
-23.044385073173363, -35.78519845601654, 1.1, 1.1
-23.286102695810794, -36.162433037525616, 1.1, 1.1
-23.527804454506683, -36.539677657235, 1.1, 1.1
-23.76949223142356, -36.916931239623224, 1.1, 1.1
-24.01116808797759, -37.29419244028847, 1.1, 1.1
-24.252833816704516, -37.671460004455696, 1.1, 1.1
-24.494491389393698, -38.04873285660342, 1.1, 1.1
-24.736142688207703, -38.426009562703065, 1.1, 1.1
-24.977789774562638, -38.80328904723314, 1.1, 1.1
-25.21943444099429, -39.180570055418634, 1.1, 1.1
-25.461078659292006, -39.55785142211127, 1.1, 1.1
-25.70272440124512, -39.93513171328244, 1.1, 1.1
-25.94437345938941, -40.3124098534107, 1.1, 1.1
-26.186027984767794, -40.68968458772098, 1.1, 1.1
-26.427689680289244, -41.06695475106507, 1.1, 1.1
-26.669360607369903, -41.44421899904111, 1.1, 1.1
-26.911042648172327, -41.821476076874085, 1.1, 1.1
-27.152737684859073, -42.198724909042525, 1.1, 1.1
-27.39444768921949, -42.57596415114461, 1.1, 1.1
-27.636174722669693, -42.95319263803207, 1.1, 1.1
-27.8779204881187, -43.33040911492989, 1.1, 1.1
-28.11968695735582, -43.70761232706302, 1.1, 1.1
-28.36147619179719, -44.08480110928321, 1.1, 1.1
-28.603289983978602, -44.46197411718865, 1.1, 1.1
-28.84513030568939, -44.839130275257865, 1.1, 1.1
-29.0869991287189, -45.21626823908901, 1.1, 1.1
-29.32889833522967, -45.59338684353388, 1.1, 1.1
-29.57082989701106, -45.970484744190614, 1.1, 1.1
-29.81279560659886, -46.34756086553776, 1.1, 1.1
-30.054797615035962, -46.724613952800276, 1.1, 1.1
-30.296837625231333, -47.10164266157635, 1.1, 1.1
-30.538917698601157, -47.47864582671771, 1.1, 1.1
-30.781039717307962, -47.85562228307614, 1.1, 1.1
-31.023205563514296, -48.23257068624978, 1.1, 1.1
-31.265417298636304, -48.60948996071719, 1.1, 1.1
-31.50767671520975, -48.986378762076534, 1.1, 1.1
-31.749985785023995, -49.363235835552764, 1.1, 1.1
-31.99234647986836, -49.74006001599764, 1.1, 1.1
-32.23476068190543, -50.11685004863615, 1.1, 1.1
-32.477230362924516, -50.49360476832001, 1.1, 1.1
-32.719757405088195, -50.8703228306474, 1.1, 1.1
-32.96234369055903, -51.247003070470086, 1.1, 1.1
-33.20499128075315, -51.6236443226398, 1.1, 1.1
-33.44770196820631, -52.000245242754715, 1.1, 1.1
