# a34db043-345e-40d7-99fe-8c0d20d40dde
# 603fd3987364b09f9aacb70d1ed12c268e24dd56
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000;0.5549085;-0.6243834;4.1367500;-0.0000118;8.0000000;0.0000000
0.1999128;0.4460816;-0.7920791;4.1367479;-0.0000100;8.0000000;0.0000000
0.3998256;0.3372544;-0.9597745;4.1367461;-0.0000082;8.0000000;0.0000000
0.5997384;0.2284269;-1.1274698;4.1367446;-0.0000063;8.0000000;0.0000000
0.7996512;0.1195992;-1.2951649;4.1367435;-0.0000045;8.0000000;0.0000000
0.9995640;0.0107713;-1.4628600;4.1367428;-0.0000027;8.0000000;0.0000000
1.1994769;-0.0980566;-1.6305550;4.1367424;-0.0000009;8.0000000;0.0000000
1.3993897;-0.2068846;-1.7982499;4.1367425;0.0000010;8.0000000;0.0000000
1.5993025;-0.3157126;-1.9659449;4.1367428;0.0000028;8.0000000;0.0000000
1.7992153;-0.4245404;-2.1336400;4.1367436;0.0000046;8.0000000;0.0000000
1.9991281;-0.5333681;-2.3013351;4.1367447;0.0000064;8.0000000;0.0000000
2.1990409;-0.6421956;-2.4690304;4.1367461;0.0000083;8.0000000;0.0000000
2.3989537;-0.7510228;-2.6367259;4.1367480;0.0000101;8.0000000;0.0000000
2.5988665;-0.8598497;-2.8044215;4.1367502;0.0000119;8.0000000;0.0000000
2.7987793;-0.9686762;-2.9721175;4.1367528;0.0000138;8.0000000;0.0000000
2.9986921;-1.0775022;-3.1398137;4.1367557;0.0000156;8.0000000;0.0000000
3.1986050;-1.1863277;-3.3075103;4.1367590;0.0000174;8.0000000;0.0000000
3.3985178;-1.2951526;-3.4752073;4.1367627;0.0000193;8.0000000;0.0000000
3.5984306;-1.4039768;-3.6429047;4.1367667;0.0000211;8.0000000;0.0000000
3.7983434;-1.5128004;-3.8106025;4.1367711;0.0000229;8.0000000;0.0000000
3.9982562;-1.6216231;-3.9783009;4.1367759;0.0000248;8.0000000;0.0000000
4.1981690;-1.7304451;-4.1459997;4.1367810;0.0000266;8.0000000;0.0000000
4.3980818;-1.8392662;-4.3136992;4.1367865;0.0000284;8.0000000;0.0000000
4.5979946;-1.9480863;-4.4813993;4.1367924;0.0000302;8.0000000;0.0000000
4.7979074;-2.0569053;-4.6491000;4.1367986;0.0000321;8.0000000;0.0000000
4.9978202;-2.1657234;-4.8168015;4.1368052;0.0000339;8.0000000;0.0000000
5.1977331;-2.2745402;-4.9845036;4.1368122;0.0000357;8.0000000;0.0000000
