# x_m, y_m, w_tr_right_m, w_tr_left_m
0.0, 0.0, 1.1, 1.1
-0.17063227742773632, 0.35523312393743983, 1.1, 1.1
-0.34077109162337493, 0.7107420391673781, 1.1, 1.1
-0.5104794445954806, 1.0664871331769352, 1.1, 1.1
-0.6798202596001048, 1.4224287934532247, 1.1, 1.1
-0.8488564598933109, 1.7785275649883776, 1.1, 1.1
-1.0176508899786374, 2.1347436777644813, 1.1, 1.1
-1.1862665518646567, 2.491037755526188, 1.1, 1.1
-1.3547662900549113, 2.8473700282555914, 1.1, 1.1
-1.523213185310479, 3.2037011196973375, 1.1, 1.1
-1.6916700033824004, 3.559991259833512, 1.1, 1.1
-1.8601997462792363, 3.9162009936562474, 1.1, 1.1
-2.0288654160095523, 4.2722907874051765, 1.1, 1.1
-2.197729778324392, 4.628220871062394, 1.1, 1.1
-2.366855835232313, 4.9839518683725315, 1.1, 1.1
-2.5363095813372927, 5.339447868190714, 1.1, 1.1
-2.7061664615445964, 5.694685323516243, 1.1, 1.1
-2.8765039683247515, 6.049642656161177, 1.1, 1.1
-3.047399436643281, 6.40429852419512, 1.1, 1.1
-3.218930122713188, 6.758631506935157, 1.1, 1.1
-3.3911735190050094, 7.11262018369838, 1.1, 1.1
-3.564206960484261, 7.466243055049352, 1.1, 1.1
-3.738107703363951, 7.819478700305172, 1.1, 1.1
-3.9129532401146125, 8.172305777535438, 1.1, 1.1
-4.088820905701766, 8.524702866057227, 1.1, 1.1
-4.265788035090926, 8.876648387682613, 1.1, 1.1
-4.443931963247608, 9.228121157986218, 1.1, 1.1
-4.623330103889837, 9.579099520027594, 1.1, 1.1
-4.804059791983132, 9.929562210628845, 1.1, 1.1
-4.986132604146566, 10.279506158442059, 1.1, 1.1
-5.169361818177252, 10.628983733886848, 1.1, 1.1
-5.353523146924683, 10.978057938971792, 1.1, 1.1
-5.538392303238368, 11.32679169695294, 1.1, 1.1
-5.7237449999678045, 11.67524777358133, 1.1, 1.1
-5.909357186220028, 12.023489249618043, 1.1, 1.1
