# b4db08cd-c691-4ea1-9aa9-4452c642c058
# 603fd3987364b09f9aacb70d1ed12c268e24dd56
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000;-0.6862325;-0.3130455;2.0161884;0.0017292;8.0000000;0.0000000
0.1999221;-0.7723926;-0.1326424;2.0165373;0.0017612;8.0000000;0.0000000
0.3998442;-0.8586163;0.0477303;2.0168927;0.0017932;8.0000000;0.0000000
0.5997663;-0.9449047;0.2280721;2.0172543;0.0018237;8.0000000;0.0000000
0.7996884;-1.0312587;0.4083824;2.0176218;0.0018526;8.0000000;0.0000000
0.9996104;-1.1176796;0.5886608;2.0179950;0.0018816;8.0000000;0.0000000
1.1995325;-1.2041683;0.7689066;2.0183738;0.0019073;8.0000000;0.0000000
1.3994546;-1.2907256;0.9491194;2.0187577;0.0019329;8.0000000;0.0000000
1.5993767;-1.3773527;1.1292988;2.0191466;0.0019572;8.0000000;0.0000000
1.7992988;-1.4640502;1.3094442;2.0195402;0.0019801;8.0000000;0.0000000
1.9992209;-1.5508190;1.4895553;2.0199383;0.0020030;8.0000000;0.0000000
2.1991430;-1.6376599;1.6696317;2.0203408;0.0020235;8.0000000;0.0000000
2.3990651;-1.7245736;1.8496729;2.0207474;0.0020439;8.0000000;0.0000000
2.5989872;-1.8115610;2.0296786;2.0211579;0.0020603;8.0000000;0.0000000
2.7989092;-1.8986224;2.2096485;2.0215710;0.0020727;8.0000000;0.0000000
2.9988313;-1.9857584;2.3895822;2.0219866;0.0020848;8.0000000;0.0000000
3.1987534;-2.0729693;2.5694797;2.0224026;0.0020765;8.0000000;0.0000000
3.3986755;-2.1602548;2.7493410;2.0228169;0.0020682;8.0000000;0.0000000
3.5985976;-2.2476148;2.9291661;2.0232293;0.0020555;8.0000000;0.0000000
3.7985197;-2.3350486;3.1089554;2.0236386;0.0020385;8.0000000;0.0000000
3.9984418;-2.4225556;3.2887090;2.0240444;0.0020214;8.0000000;0.0000000
4.1983639;-2.5101353;3.4684272;2.0244466;0.0020025;8.0000000;0.0000000
4.3982860;-2.5977869;3.6481104;2.0248451;0.0019835;8.0000000;0.0000000
4.5982080;-2.6855098;3.8277588;2.0252397;0.0019640;8.0000000;0.0000000
4.7981301;-2.7733032;4.0073727;2.0256303;0.0019439;8.0000000;0.0000000
4.9980522;-2.8611664;4.1869524;2.0260170;0.0019238;8.0000000;0.0000000
5.1979743;-2.9490987;4.3664985;2.0263995;0.0019028;8.0000000;0.0000000
5.3978964;-3.0370992;4.5460110;2.0267778;0.0018818;8.0000000;0.0000000
5.5978185;-3.1251673;4.7254904;2.0271518;0.0018600;8.0000000;0.0000000
5.7977406;-3.2133021;4.9049371;2.0275214;0.0018375;8.0000000;0.0000000
5.9976627;-3.3015028;5.0843512;2.0278866;0.0018151;8.0000000;0.0000000
6.1975848;-3.3897686;5.2637336;2.0282472;0.0017930;8.0000000;0.0000000
6.3975068;-3.4780987;5.4430841;2.0286035;0.0017710;8.0000000;0.0000000
6.5974289;-3.5664923;5.6224034;2.0289553;0.0017487;8.0000000;0.0000000
6.7973510;-3.6549487;5.8016918;2.0293027;0.0017260;8.0000000;0.0000000
6.9972731;-3.7434668;5.9809496;2.0296455;0.0017033;8.0000000;0.0000000
7.1971952;-3.8320460;6.1601773;2.0299836;0.0016795;8.0000000;0.0000000
7.3971173;-3.9206853;6.3393753;2.0303170;0.0016558;8.0000000;0.0000000
7.5970394;-4.0093841;6.5185438;2.0306475;0.0016668;8.0000000;0.0000000
7.7969615;-4.0981425;6.6976828;2.0309849;0.0017082;8.0000000;0.0000000
7.9968836;-4.1869622;6.8767914;2.0313306;0.0017589;8.0000000;0.0000000
8.1968056;-4.2758462;7.0558681;2.0317120;0.0020566;8.0000000;0.0000000
8.3967277;-4.3648038;7.2349083;2.0321529;0.0023543;8.0000000;0.0000000
8.5966498;-4.4538454;7.4139067;2.0326457;0.0025101;8.0000000;0.0000000
8.7965719;-4.5429767;7.5928605;2.0331509;0.0025444;8.0000000;0.0000000
8.9964940;-4.6321990;7.7717689;2.0336628;0.0025281;8.0000000;0.0000000
9.1964161;-4.7215052;7.9506355;2.0340477;0.0013218;8.0000000;0.0000000
9.3963382;-4.8108587;8.1294784;2.0341913;0.0001155;8.0000000;0.0000000
9.5962603;-4.9002161;8.3083194;2.0340892;-0.0011761;8.0000000;0.0000000
9.7961824;-4.9895314;8.4871814;2.0337178;-0.0025394;8.0000000;0.0000000
9.9961044;-5.0787559;8.6660888;2.0330739;-0.0039004;8.0000000;0.0000000
10.1960265;-5.1678412;8.8450657;2.0321628;-0.0052140;8.0000000;0.0000000
10.3959486;-5.2567397;9.0241351;2.0309891;-0.0065277;8.0000000;0.0000000
