# a356015a-cb55-4bd3-8217-41ab34423ca5
# 603fd3987364b09f9aacb70d1ed12c268e24dd56
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000;-0.8243256;0.2019914;4.7320201;0.0000498;8.0000000;0.0000000
0.1999905;-0.8203988;0.0020394;4.7320302;0.0000513;8.0000000;0.0000000
0.3999811;-0.8164700;-0.1979125;4.7320407;0.0000529;8.0000000;0.0000000
0.5999716;-0.8125390;-0.3978645;4.7320514;0.0000543;8.0000000;0.0000000
0.7999622;-0.8086058;-0.5978163;4.7320624;0.0000555;8.0000000;0.0000000
0.9999527;-0.8046705;-0.7977682;4.7320736;0.0000567;8.0000000;0.0000000
1.1999433;-0.8007329;-0.9977199;4.7320850;0.0000576;8.0000000;0.0000000
1.3999338;-0.7967929;-1.1976717;4.7320966;0.0000585;8.0000000;0.0000000
1.5999244;-0.7928507;-1.3976234;4.7321084;0.0000592;8.0000000;0.0000000
1.7999149;-0.7889060;-1.5975750;4.7321203;0.0000598;8.0000000;0.0000000
1.9999055;-0.7849590;-1.7975266;4.7321323;0.0000604;8.0000000;0.0000000
2.1998960;-0.7810096;-1.9974781;4.7321444;0.0000608;8.0000000;0.0000000
2.3998866;-0.7770577;-2.1974296;4.7321566;0.0000611;8.0000000;0.0000000
2.5998771;-0.7731034;-2.3973811;4.7321689;0.0000613;8.0000000;0.0000000
2.7998677;-0.7691466;-2.5973325;4.7321811;0.0000613;8.0000000;0.0000000
2.9998582;-0.7651874;-2.7972839;4.7321934;0.0000613;8.0000000;0.0000000
3.1998488;-0.7612257;-2.9972351;4.7322056;0.0000611;8.0000000;0.0000000
3.3998393;-0.7572616;-3.1971864;4.7322178;0.0000609;8.0000000;0.0000000
3.5998299;-0.7532951;-3.3971376;4.7322300;0.0000605;8.0000000;0.0000000
3.7998204;-0.7493261;-3.5970888;4.7322420;0.0000600;8.0000000;0.0000000
3.9998110;-0.7453548;-3.7970399;4.7322540;0.0000595;8.0000000;0.0000000
4.1998015;-0.7413810;-3.9969910;4.7322658;0.0000587;8.0000000;0.0000000
4.3997921;-0.7374049;-4.1969420;4.7322774;0.0000579;8.0000000;0.0000000
4.5997826;-0.7334265;-4.3968930;4.7322889;0.0000570;8.0000000;0.0000000
4.7997732;-0.7294459;-4.5968439;4.7323002;0.0000560;8.0000000;0.0000000
4.9997637;-0.7254629;-4.7967948;4.7323113;0.0000550;8.0000000;0.0000000
5.1997543;-0.7214778;-4.9967456;4.7323222;0.0000535;8.0000000;0.0000000
