# x_m, y_m, w_tr_right_m, w_tr_left_m
0.0, 0.0, 1.1, 1.1
-0.32242493137860295, 0.31062730256585785, 1.1, 1.1
-0.644831603499213, 0.6212850372283706, 1.1, 1.1
-0.9672217169789922, 0.9319706978148761, 1.1, 1.1
-1.2895973304597717, 1.2426815991403777, 1.1, 1.1
-1.611960323571058, 1.5534151455260412, 1.1, 1.1
-1.934312575942348, 1.8641685622806976, 1.1, 1.1
-2.2566559672031485, 2.1749392537255123, 1.1, 1.1
-2.5789925559952698, 2.485724534675489, 1.1, 1.1
-2.901324132442067, 2.7965216304394693, 1.1, 1.1
-3.2236525761730364, 3.1073280348447696, 1.1, 1.1
-3.545979945829999, 3.418141062706415, 1.1, 1.1
-3.8683081210424617, 3.7289578498270535, 1.1, 1.1
-4.190638981439921, 4.039775890034023, 1.1, 1.1
-4.512974496158056, 4.350592498142327, 1.1, 1.1
-4.83531645532018, 4.661404988966969, 1.1, 1.1
-5.157666917568136, 4.972210587816769, 1.1, 1.1
-5.48002776253143, 5.283006788519077, 1.1, 1.1
-5.802400869839547, 5.593790726876561, 1.1, 1.1
-6.1247881191219955, 5.90455998622271, 1.1, 1.1
-6.447191569020605, 6.215311612854032, 1.1, 1.1
-6.769613009658701, 6.526043100597865, 1.1, 1.1
-7.092054499678135, 6.8367517642692, 1.1, 1.1
-7.414517739696069, 7.147434918683044, 1.1, 1.1
-7.7370048778604845, 7.458089878654388, 1.1, 1.1
-8.059517614788566, 7.768713869492084, 1.1, 1.1
-8.382058098628306, 8.079304385023448, 1.1, 1.1
-8.704628029996865, 8.389858740063486, 1.1, 1.1
-9.027229467536086, 8.700374159921038, 1.1, 1.1
-9.349864290875466, 9.010848048917271, 1.1, 1.1
-9.672534379644501, 9.321277632361014, 1.1, 1.1
-9.995241792485032, 9.631660314573443, 1.1, 1.1
-10.31798823001421, 9.941993499875716, 1.1, 1.1
-10.640775750873889, 10.252274324070498, 1.1, 1.1
-10.963606234693541, 10.56250028098513, 1.1, 1.1
-11.286481561102688, 10.872668685434613, 1.1, 1.1
-11.609403788743158, 11.18277676272778, 1.1, 1.1
-11.932374618232103, 11.492821917185797, 1.1, 1.1
-12.255396197717547, 11.802801374117504, 1.1, 1.1
-12.578470227816641, 12.112712627350218, 1.1, 1.1
-12.901598856677381, 12.42255281268663, 1.1, 1.1
-13.224783784916948, 12.732319423954056, 1.1, 1.1
-13.548027071177152, 13.042009775967502, 1.1, 1.1
-13.871330595087521, 13.351621004529644, 1.1, 1.1
-14.19469623627753, 13.661150692973973, 1.1, 1.1
-14.518125874376686, 13.970595977103148, 1.1, 1.1
-14.841621568026833, 14.279954261238355, 1.1, 1.1
-15.165185196857452, 14.58922294970075, 1.1, 1.1
-15.488818550991883, 14.89839917829301, 1.1, 1.1
-15.812523689071973, 15.207480440842456, 1.1, 1.1
-16.136302490727203, 15.516463962657935, 1.1, 1.1
-16.460156835587085, 15.825347148060608, 1.1, 1.1
-16.78408869278727, 16.13412722235931, 1.1, 1.1
-17.108099941957267, 16.442801679381365, 1.1, 1.1
-17.432192462726587, 16.751367654929467, 1.1, 1.1
-17.756368313737035, 17.059822553324754, 1.1, 1.1
-18.080629195605802, 17.3681637788884, 1.1, 1.1
-18.404977256480873, 17.676388556929258, 1.1, 1.1
-18.72941428648559, 17.984494291768474, 1.1, 1.1
-19.053942254755615, 18.292478208714897, 1.1, 1.1
-19.37856304092045, 18.600337712089683, 1.1, 1.1
-19.703278524609583, 18.908070116707837, 1.1, 1.1
-20.028090674958698, 19.21567273738436, 1.1, 1.1
-20.353001461103446, 19.52314288893425, 1.1, 1.1
