# e630c184-8d4d-4a86-ae6f-451690b30b6c
# 603fd3987364b09f9aacb70d1ed12c268e24dd56
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000;-0.4338847;-0.6118584;2.3756662;0.0002952;8.0000000;0.0000000
0.1999392;-0.5779931;-0.4732637;2.3757251;0.0002946;8.0000000;0.0000000
0.3998785;-0.7221096;-0.3346776;2.3757840;0.0002941;8.0000000;0.0000000
0.5998177;-0.8662343;-0.1960999;2.3758427;0.0002936;8.0000000;0.0000000
0.7997569;-1.0103671;-0.0575307;2.3759014;0.0002931;8.0000000;0.0000000
0.9996961;-1.1545081;0.0810300;2.3759599;0.0002927;8.0000000;0.0000000
1.1996354;-1.2986571;0.2195824;2.3760184;0.0002925;8.0000000;0.0000000
1.3995746;-1.4428143;0.3581263;2.3760769;0.0002922;8.0000000;0.0000000
1.5995138;-1.5869795;0.4966617;2.3761353;0.0002921;8.0000000;0.0000000
1.7994530;-1.7311529;0.6351888;2.3761937;0.0002920;8.0000000;0.0000000
1.9993923;-1.8753343;0.7737074;2.3762521;0.0002920;8.0000000;0.0000000
2.1993315;-2.0195238;0.9122176;2.3763105;0.0002921;8.0000000;0.0000000
2.3992707;-2.1637214;1.0507194;2.3763689;0.0002923;8.0000000;0.0000000
2.5992099;-2.3079271;1.1892128;2.3764273;0.0002925;8.0000000;0.0000000
2.7991492;-2.4521409;1.3276977;2.3764858;0.0002928;8.0000000;0.0000000
2.9990884;-2.5963628;1.4661742;2.3765444;0.0002931;8.0000000;0.0000000
3.1990276;-2.7405928;1.6046422;2.3766031;0.0002936;8.0000000;0.0000000
3.3989668;-2.8848309;1.7431018;2.3766618;0.0002941;8.0000000;0.0000000
3.5989061;-3.0290772;1.8815529;2.3767207;0.0002947;8.0000000;0.0000000
3.7988453;-3.1733317;2.0199955;2.3767797;0.0002953;8.0000000;0.0000000
3.9987845;-3.3175943;2.1584296;2.3768388;0.0002960;8.0000000;0.0000000
4.1987237;-3.4618651;2.2968551;2.3768980;0.0002968;8.0000000;0.0000000
4.3986630;-3.6061441;2.4352721;2.3769575;0.0002977;8.0000000;0.0000000
4.5986022;-3.7504314;2.5736804;2.3770171;0.0002986;8.0000000;0.0000000
4.7985414;-3.8947269;2.7120802;2.3770769;0.0002996;8.0000000;0.0000000
4.9984807;-4.0390307;2.8504713;2.3771369;0.0003006;8.0000000;0.0000000
5.1984199;-4.1833428;2.9888538;2.3771971;0.0003018;8.0000000;0.0000000
5.3983591;-4.3276633;3.1272275;2.3772575;0.0003029;8.0000000;0.0000000
5.5982983;-4.4719922;3.2655925;2.3773182;0.0003042;8.0000000;0.0000000
5.7982376;-4.6163294;3.4039488;2.3773792;0.0003055;8.0000000;0.0000000
5.9981768;-4.7606752;3.5422962;2.3774404;0.0003068;8.0000000;0.0000000
6.1981160;-4.9050294;3.6806347;2.3775019;0.0003083;8.0000000;0.0000000
6.3980552;-5.0493921;3.8189644;2.3775637;0.0003098;8.0000000;0.0000000
6.5979945;-5.1937634;3.9572851;2.3776258;0.0003114;8.0000000;0.0000000
6.7979337;-5.3381433;4.0955968;2.3776882;0.0003131;8.0000000;0.0000000
6.9978729;-5.4825319;4.2338995;2.3777510;0.0003147;8.0000000;0.0000000
7.1978121;-5.6269292;4.3721931;2.3778141;0.0003165;8.0000000;0.0000000
7.3977514;-5.7713352;4.5104776;2.3778775;0.0003183;8.0000000;0.0000000
7.5976906;-5.9157501;4.6487528;2.3779414;0.0003202;8.0000000;0.0000000
7.7976298;-6.0601738;4.7870189;2.3780056;0.0003222;8.0000000;0.0000000
7.9975690;-6.2046064;4.9252756;2.3780702;0.0003242;8.0000000;0.0000000
8.1975083;-6.3490479;5.0635229;2.3781352;0.0003263;8.0000000;0.0000000
8.3974475;-6.4934985;5.2017609;2.3782007;0.0003284;8.0000000;0.0000000
8.5973867;-6.6379581;5.3399893;2.3782666;0.0003306;8.0000000;0.0000000
8.7973259;-6.7824269;5.4782082;2.3783329;0.0003329;8.0000000;0.0000000
8.9972652;-6.9269049;5.6164175;2.3783997;0.0003352;8.0000000;0.0000000
9.1972044;-7.0713922;5.7546171;2.3784669;0.0003376;8.0000000;0.0000000
9.3971436;-7.2158888;5.8928069;2.3785347;0.0003400;8.0000000;0.0000000
9.5970828;-7.3603947;6.0309869;2.3786029;0.0003425;8.0000000;0.0000000
9.7970221;-7.5049102;6.1691571;2.3786716;0.0003451;8.0000000;0.0000000
9.9969613;-7.6494351;6.3073172;2.3787409;0.0003477;8.0000000;0.0000000
10.1969005;-7.7939697;6.4454673;2.3788107;0.0003504;8.0000000;0.0000000
10.3968398;-7.9385139;6.5836073;2.3788810;0.0003531;8.0000000;0.0000000
10.5967790;-8.0830679;6.7217371;2.3789519;0.0003559;8.0000000;0.0000000
10.7967182;-8.2276318;6.8598566;2.3790233;0.0003588;8.0000000;0.0000000
10.9966574;-8.3722055;6.9979657;2.3790953;0.0003616;8.0000000;0.0000000
11.1965967;-8.5167892;7.1360643;2.3791679;0.0003647;8.0000000;0.0000000
11.3965359;-8.6613830;7.2741525;2.3792412;0.0003677;8.0000000;0.0000000
11.5964751;-8.8059870;7.4122300;2.3793150;0.0003708;8.0000000;0.0000000
11.7964143;-8.9506011;7.5502967;2.3793894;0.0003739;8.0000000;0.0000000
11.9963536;-9.0952257;7.6883527;2.3794645;0.0003771;8.0000000;0.0000000
12.1962928;-9.2398606;7.8263977;2.3795402;0.0003804;8.0000000;0.0000000
12.3962320;-9.3845060;7.9644318;2.3796166;0.0003837;8.0000000;0.0000000
12.5961712;-9.5291620;8.1024547;2.3796937;0.0003871;8.0000000;0.0000000
12.7961105;-9.6738287;8.2404665;2.3797714;0.0003906;8.0000000;0.0000000
12.9960497;-9.8185061;8.3784670;2.3798499;0.0003941;8.0000000;0.0000000
13.1959889;-9.9631944;8.5164560;2.3799290;0.0003977;8.0000000;0.0000000
13.3959281;-10.1078938;8.6544336;2.3800089;0.0004013;8.0000000;0.0000000
13.5958674;-10.2526041;8.7923995;2.3800895;0.0004050;8.0000000;0.0000000
13.7958066;-10.3973257;8.9303537;2.3801709;0.0004088;8.0000000;0.0000000
13.9957458;-10.5420585;9.0682961;2.3802530;0.0004126;8.0000000;0.0000000
14.1956850;-10.6868027;9.2062266;2.3803359;0.0004170;8.0000000;0.0000000
14.3956243;-10.8315584;9.3441449;2.3804198;0.0004215;8.0000000;0.0000000
14.5955635;-10.9763257;9.4820511;2.3805045;0.0004268;8.0000000;0.0000000
14.7955027;-11.1211048;9.6199449;2.3805905;0.0004330;8.0000000;0.0000000
14.9954420;-11.2658959;9.7578262;2.3806777;0.0004392;8.0000000;0.0000000
15.1953812;-11.4106990;9.8956948;2.3807661;0.0004459;8.0000000;0.0000000
15.3953204;-11.5555145;10.0335505;2.3808559;0.0004525;8.0000000;0.0000000
15.5952596;-11.7003424;10.1713930;2.3809471;0.0004593;8.0000000;0.0000000
15.7951989;-11.8451829;10.3092223;2.3810396;0.0004661;8.0000000;0.0000000
15.9951381;-11.9900363;10.4470381;2.3811335;0.0004729;8.0000000;0.0000000
16.1950773;-12.1349028;10.5848401;2.3812287;0.0004799;8.0000000;0.0000000
16.3950165;-12.2797824;10.7226283;2.3813254;0.0004870;8.0000000;0.0000000
16.5949558;-12.4246755;10.8604023;2.3814233;0.0004914;8.0000000;0.0000000
16.7948950;-12.5695821;10.9981621;2.3815218;0.0004936;8.0000000;0.0000000
16.9948342;-12.7145023;11.1359077;2.3816207;0.0004953;8.0000000;0.0000000
17.1947734;-12.8594360;11.2736389;2.3817178;0.0004764;8.0000000;0.0000000
17.3947127;-13.0043829;11.4113564;2.3818112;0.0004575;8.0000000;0.0000000
17.5946519;-13.1493424;11.5490606;2.3819006;0.0004358;8.0000000;0.0000000
17.7945911;-13.2943139;11.6867522;2.3819853;0.0004114;8.0000000;0.0000000
17.9945303;-13.4392967;11.8244319;2.3820652;0.0003871;8.0000000;0.0000000
18.1944696;-13.5842901;11.9621003;2.3821401;0.0003628;8.0000000;0.0000000
18.3944088;-13.7292935;12.0997582;2.3822103;0.0003386;8.0000000;0.0000000
18.5943480;-13.8743063;12.2374063;2.3822755;0.0003142;8.0000000;0.0000000
18.7942872;-14.0193277;12.3750453;2.3823359;0.0002897;8.0000000;0.0000000
18.9942265;-14.1643570;12.5126759;2.3823914;0.0002652;8.0000000;0.0000000
19.1941657;-14.3093937;12.6502988;2.3824419;0.0002407;8.0000000;0.0000000
19.3941049;-14.4544370;12.7879147;2.3824876;0.0002163;8.0000000;0.0000000
19.5940441;-14.5994862;12.9255244;2.3825284;0.0001919;8.0000000;0.0000000
19.7939834;-14.7445408;13.0631285;2.3825644;0.0001677;8.0000000;0.0000000
19.9939226;-14.8895998;13.2007276;2.3825955;0.0001435;8.0000000;0.0000000
20.1938618;-15.0346630;13.3383227;2.3826218;0.0001195;8.0000000;0.0000000
20.3938011;-15.1797293;13.4759143;2.3826433;0.0000955;8.0000000;0.0000000
20.5937403;-15.3247984;13.6135031;2.3826600;0.0000713;8.0000000;0.0000000
20.7936795;-15.4698693;13.7510899;2.3826718;0.0000468;8.0000000;0.0000000
20.9936187;-15.6149415;13.8886752;2.3826787;0.0000222;8.0000000;0.0000000
21.1935580;-15.7600144;14.0262601;2.3826803;-0.0000054;8.0000000;0.0000000
21.3934972;-15.9050871;14.1638449;2.3826765;-0.0000330;8.0000000;0.0000000
21.5934364;-16.0501589;14.3014308;2.3826671;-0.0000609;8.0000000;0.0000000
21.7933756;-16.1952290;14.4390185;2.3826522;-0.0000890;8.0000000;0.0000000
21.9933149;-16.3402966;14.5766086;2.3826315;-0.0001172;8.0000000;0.0000000
22.1932541;-16.4853611;14.7142023;2.3826053;-0.0001450;8.0000000;0.0000000
22.3931933;-16.6304215;14.8518001;2.3825735;-0.0001729;8.0000000;0.0000000
22.5931325;-16.7754772;14.9894030;2.3825362;-0.0002006;8.0000000;0.0000000
22.7930718;-16.9205274;15.1270117;2.3824933;-0.0002282;8.0000000;0.0000000
22.9930110;-17.0655712;15.2646268;2.3824449;-0.0002558;8.0000000;0.0000000
23.1929502;-17.2106082;15.4022496;2.3823911;-0.0002830;8.0000000;0.0000000
23.3928894;-17.3556372;15.5398805;2.3823318;-0.0003102;8.0000000;0.0000000
23.5928287;-17.5006574;15.6775207;2.3822530;-0.0006058;8.0000000;0.0000000
23.7927679;-17.6456607;15.8151788;2.3820780;-0.0011445;8.0000000;0.0000000
23.9927071;-17.7906323;15.9528699;2.3817952;-0.0017255;8.0000000;0.0000000
24.1926463;-17.9355467;16.0906160;2.3812294;-0.0039346;8.0000000;0.0000000
24.3925856;-18.0803559;16.2284792;2.3802219;-0.0061431;8.0000000;0.0000000
24.5925248;-18.2249929;16.3665166;2.3787901;-0.0080250;8.0000000;0.0000000
24.7924640;-18.3694087;16.5047857;2.3770269;-0.0096125;8.0000000;0.0000000
24.9924033;-18.5135683;16.6433415;2.3749462;-0.0112143;8.0000000;0.0000000
25.1923425;-18.6574001;16.7822091;2.3724862;-0.0133946;8.0000000;0.0000000
25.3922817;-18.8008693;16.9214710;2.3695901;-0.0155751;8.0000000;0.0000000
25.5922209;-18.9439018;17.0611778;2.3662353;-0.0181862;8.0000000;0.0000000
25.7921602;-19.0864227;17.2014019;2.3622994;-0.0211859;8.0000000;0.0000000
25.9920994;-19.2283536;17.3422337;2.3577635;-0.0241843;8.0000000;0.0000000
26.1920386;-19.3695944;17.4837423;2.3526335;-0.0271322;8.0000000;0.0000000
26.3919778;-19.5100702;17.6260197;2.3469139;-0.0300807;8.0000000;0.0000000
26.5919171;-19.6496867;17.7691382;2.3406081;-0.0329672;8.0000000;0.0000000
26.7918563;-19.7883559;17.9131727;2.3337336;-0.0357992;8.0000000;0.0000000
26.9917955;-19.9259941;18.0581998;2.3262926;-0.0386317;8.0000000;0.0000000
27.1917347;-20.0625033;18.2042804;2.3182883;-0.0414373;8.0000000;0.0000000
27.3916740;-20.1978003;18.3514899;2.3097225;-0.0442465;8.0000000;0.0000000
27.5916132;-20.3317894;18.4998902;2.3005952;-0.0470520;8.0000000;0.0000000
27.7915524;-20.4643758;18.6495437;2.2909073;-0.0498577;8.0000000;0.0000000
27.9914916;-20.5954648;18.8005125;2.2806578;-0.0526678;8.0000000;0.0000000
28.1914309;-20.7249560;18.9528524;2.2698471;-0.0554733;8.0000000;0.0000000
28.3913701;-20.8527494;19.1066188;2.2584746;-0.0582875;8.0000000;0.0000000
28.5913093;-20.9787428;19.2618649;2.2465390;-0.0611029;8.0000000;0.0000000
28.7912485;-21.1028300;19.4186384;2.2340401;-0.0639257;8.0000000;0.0000000
28.9911878;-21.2249014;19.5769825;2.2209759;-0.0667586;8.0000000;0.0000000
29.1911270;-21.3448521;19.7369468;2.2073449;-0.0695930;8.0000000;0.0000000
29.3910662;-21.4625621;19.8985600;2.1931458;-0.0724443;8.0000000;0.0000000
29.5910055;-21.5779205;20.0618634;2.1783753;-0.0753054;8.0000000;0.0000000
29.7909447;-21.6908075;20.2268858;2.1630311;-0.0781850;8.0000000;0.0000000
29.9908839;-21.8010962;20.3936453;2.1471099;-0.0810835;8.0000000;0.0000000
30.1908231;-21.9086750;20.5621831;2.1306074;-0.0839895;8.0000000;0.0000000
30.3907624;-22.0134023;20.7324939;2.1135219;-0.0869242;8.0000000;0.0000000
30.5907016;-22.1151562;20.9046026;2.0958476;-0.0898696;8.0000000;0.0000000
30.7906408;-22.2138021;21.0785137;2.0775825;-0.0928391;8.0000000;0.0000000
30.9905800;-22.3091962;21.2542132;2.0587218;-0.0958398;8.0000000;0.0000000
31.1905193;-22.4012167;21.4317284;2.0392580;-0.0988537;8.0000000;0.0000000
31.3904585;-22.4897031;21.6110124;2.0191886;-0.1019122;8.0000000;0.0000000
31.5903977;-22.5745205;21.7920669;1.9985040;-0.1049973;8.0000000;0.0000000
31.7903369;-22.6555197;21.9748651;1.9771985;-0.1081268;8.0000000;0.0000000
31.9902762;-22.7325413;22.1593548;1.9552642;-0.1113036;8.0000000;0.0000000
32.1902154;-22.8054484;22.3455378;1.9326895;-0.1145085;8.0000000;0.0000000
32.3901546;-22.8740672;22.5333231;1.9094694;-0.1177790;8.0000000;0.0000000
32.5900938;-22.9382467;22.7226764;1.8855898;-0.1210969;8.0000000;0.0000000
32.7900331;-22.9978241;22.9135317;1.8610398;-0.1244852;8.0000000;0.0000000
32.9899723;-23.0526288;23.1057955;1.8358074;-0.1279149;8.0000000;0.0000000
33.1899115;-23.1025116;23.2994145;1.8100130;-0.1301137;8.0000000;0.0000000
33.3898507;-23.1473384;23.4942549;1.7837711;-0.1324027;8.0000000;0.0000000
33.5897900;-23.1869976;23.6902089;1.7572513;-0.1311755;8.0000000;0.0000000
33.7897292;-23.2215104;23.8871404;1.7314714;-0.1267166;8.0000000;0.0000000
33.9896684;-23.2510235;24.0848870;1.7065738;-0.1222959;8.0000000;0.0000000
34.1896076;-23.2757061;24.2832868;1.6827852;-0.1156737;8.0000000;0.0000000
34.3895469;-23.2957948;24.4822125;1.6603153;-0.1091029;8.0000000;0.0000000
34.5894861;-23.3115390;24.6815262;1.6391471;-0.1026971;8.0000000;0.0000000
34.7894253;-23.3231873;24.8811199;1.6192436;-0.0964060;8.0000000;0.0000000
34.9893646;-23.3309867;25.0809108;1.6005933;-0.0901592;8.0000000;0.0000000
35.1893038;-23.3351825;25.2807950;1.5831782;-0.0840544;8.0000000;0.0000000
35.3892430;-23.3360186;25.4807337;1.5669810;-0.0779684;8.0000000;0.0000000
35.5891822;-23.3337378;25.6806574;1.5519968;-0.0719338;8.0000000;0.0000000
35.7891215;-23.3285819;25.8805256;1.5382149;-0.0659303;8.0000000;0.0000000
35.9890607;-23.3207914;26.0803205;1.5256312;-0.0599433;8.0000000;0.0000000
36.1889999;-23.3106077;26.2799910;1.5142439;-0.0539693;8.0000000;0.0000000
36.3889391;-23.2982694;26.4795517;1.5040499;-0.0480018;8.0000000;0.0000000
