# 26815e17-1d5c-4ef3-9420-b0fa03b8fae9
# 603fd3987364b09f9aacb70d1ed12c268e24dd56
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000;-0.6562914;0.1421486;1.5026776;-0.0035463;8.0000000;0.0000000
0.1999859;-0.6426086;0.3416661;1.5019722;-0.0035075;8.0000000;0.0000000
0.3999718;-0.6287859;0.5411737;1.5012747;-0.0034686;8.0000000;0.0000000
0.5999577;-0.6148248;0.7406717;1.5005849;-0.0034298;8.0000000;0.0000000
0.7999437;-0.6007269;0.9401601;1.4999028;-0.0033911;8.0000000;0.0000000
0.9999296;-0.5864937;1.1396387;1.4992286;-0.0033523;8.0000000;0.0000000
1.1999155;-0.5721268;1.3391081;1.4985620;-0.0033135;8.0000000;0.0000000
1.3999014;-0.5576277;1.5385676;1.4979032;-0.0032747;8.0000000;0.0000000
1.5998873;-0.5429979;1.7380177;1.4972522;-0.0032360;8.0000000;0.0000000
1.7998732;-0.5282391;1.9374583;1.4966089;-0.0031972;8.0000000;0.0000000
1.9998592;-0.5133528;2.1368893;1.4959734;-0.0031585;8.0000000;0.0000000
2.1998451;-0.4983405;2.3363111;1.4953456;-0.0031197;8.0000000;0.0000000
2.3998310;-0.4832038;2.5357233;1.4947256;-0.0030810;8.0000000;0.0000000
2.5998169;-0.4679442;2.7351262;1.4941133;-0.0030423;8.0000000;0.0000000
2.7998028;-0.4525633;2.9345198;1.4935088;-0.0030036;8.0000000;0.0000000
2.9997887;-0.4370627;3.1339039;1.4929120;-0.0029648;8.0000000;0.0000000
3.1997746;-0.4214438;3.3332792;1.4923229;-0.0029261;8.0000000;0.0000000
3.3997606;-0.4057083;3.5326450;1.4917416;-0.0028874;8.0000000;0.0000000
3.5997465;-0.3898576;3.7320018;1.4911680;-0.0028487;8.0000000;0.0000000
3.7997324;-0.3738934;3.9313495;1.4906022;-0.0028100;8.0000000;0.0000000
3.9997183;-0.3578171;4.1306881;1.4900441;-0.0027714;8.0000000;0.0000000
4.1997042;-0.3416304;4.3300180;1.4894937;-0.0027327;8.0000000;0.0000000
4.3996901;-0.3253347;4.5293388;1.4889511;-0.0026940;8.0000000;0.0000000
4.5996761;-0.3089316;4.7286509;1.4884162;-0.0026552;8.0000000;0.0000000
4.7996620;-0.2924227;4.9279543;1.4878891;-0.0026164;8.0000000;0.0000000
4.9996479;-0.2758096;5.1272488;1.4873697;-0.0025776;8.0000000;0.0000000
5.1996338;-0.2590937;5.3265351;1.4868581;-0.0025388;8.0000000;0.0000000
5.3996197;-0.2422766;5.5258126;1.4863543;-0.0024999;8.0000000;0.0000000
5.5996056;-0.2253599;5.7250817;1.4858582;-0.0024611;8.0000000;0.0000000
5.7995915;-0.2083451;5.9243426;1.4853699;-0.0024223;8.0000000;0.0000000
5.9995775;-0.1912338;6.1235949;1.4848894;-0.0023835;8.0000000;0.0000000
6.1995634;-0.1740275;6.3228395;1.4844166;-0.0023442;8.0000000;0.0000000
6.3995493;-0.1567278;6.5220757;1.4839517;-0.0023049;8.0000000;0.0000000
6.5995352;-0.1393363;6.7213039;1.4834948;-0.0022647;8.0000000;0.0000000
6.7995211;-0.1218546;6.9205243;1.4830460;-0.0022235;8.0000000;0.0000000
6.9995070;-0.1042842;7.1197367;1.4826055;-0.0021822;8.0000000;0.0000000
7.1994930;-0.0866270;7.3189418;1.4821732;-0.0021406;8.0000000;0.0000000
7.3994789;-0.0688844;7.5181390;1.4817493;-0.0020989;8.0000000;0.0000000
7.5994648;-0.0510583;7.7173289;1.4813337;-0.0020572;8.0000000;0.0000000
7.7994507;-0.0331502;7.9165114;1.4809265;-0.0020155;8.0000000;0.0000000
7.9994366;-0.0151618;8.1156865;1.4805275;-0.0019739;8.0000000;0.0000000
8.1994225;0.0029052;8.3148548;1.4801370;-0.0019323;8.0000000;0.0000000
8.3994084;0.0210492;8.5140159;1.4797547;-0.0018906;8.0000000;0.0000000
