# 4cc3ef20-0971-42e5-b6a6-6c8c9a4426a7
# 603fd3987364b09f9aacb70d1ed12c268e24dd56
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000;0.8232663;0.0065730;1.4645504;-0.0000751;8.0000000;0.0000000
0.1999860;0.8444757;0.2054310;1.4645333;-0.0000956;8.0000000;0.0000000
0.3999719;0.8656888;0.4042888;1.4645122;-0.0001161;8.0000000;0.0000000
0.5999579;0.8869066;0.6031460;1.4644868;-0.0001384;8.0000000;0.0000000
0.7999438;0.9081299;0.8020025;1.4644567;-0.0001625;8.0000000;0.0000000
0.9999298;0.9293597;1.0008586;1.4644218;-0.0001865;8.0000000;0.0000000
1.1999157;0.9505968;1.1997136;1.4643820;-0.0002114;8.0000000;0.0000000
1.3999017;0.9718424;1.3985679;1.4643373;-0.0002363;8.0000000;0.0000000
1.5998877;0.9930974;1.5974211;1.4642875;-0.0002615;8.0000000;0.0000000
1.7998736;1.0143628;1.7962732;1.4642327;-0.0002870;8.0000000;0.0000000
1.9998596;1.0356396;1.9951242;1.4641727;-0.0003126;8.0000000;0.0000000
2.1998455;1.0569288;2.1939738;1.4641083;-0.0003319;8.0000000;0.0000000
2.3998315;1.0782312;2.3928219;1.4640399;-0.0003513;8.0000000;0.0000000
2.5998174;1.0995475;2.5916686;1.4639684;-0.0003571;8.0000000;0.0000000
2.7998034;1.1208780;2.7905138;1.4638978;-0.0003496;8.0000000;0.0000000
2.9997894;1.1422224;2.9893574;1.4638286;-0.0003420;8.0000000;0.0000000
3.1997753;1.1635804;3.1881997;1.4637615;-0.0003288;8.0000000;0.0000000
3.3997613;1.1849515;3.3870404;1.4636971;-0.0003156;8.0000000;0.0000000
3.5997472;1.2063351;3.5858799;1.4636353;-0.0003031;8.0000000;0.0000000
3.7997332;1.2277307;3.7847180;1.4635759;-0.0002910;8.0000000;0.0000000
3.9997191;1.2491379;3.9835549;1.4635188;-0.0002791;8.0000000;0.0000000
4.1997051;1.2705563;4.1823906;1.4634641;-0.0002686;8.0000000;0.0000000
4.3996911;1.2919853;4.3812252;1.4634114;-0.0002581;8.0000000;0.0000000
4.5996770;1.3134246;4.5800586;1.4633608;-0.0002492;8.0000000;0.0000000
4.7996630;1.3348738;4.7788910;1.4633117;-0.0002418;8.0000000;0.0000000
4.9996489;1.3563326;4.9777224;1.4632640;-0.0002344;8.0000000;0.0000000
