# x_m, y_m, w_tr_right_m, w_tr_left_m
0.0, 0.0, 1.1, 1.1
-0.31317465657104515, -0.30013597119933183, 1.1, 1.1
-0.6263122822627105, -0.6003101006818705, 1.1, 1.1
-0.939410882437456, -0.9005243830851563, 1.1, 1.1
-1.252468635904501, -1.2007811599401972, 1.1, 1.1
-1.5654836347496768, -1.5010825993312593, 1.1, 1.1
-1.8784540577821858, -1.8014308693426255, 1.1, 1.1
-2.1913781705346356, -2.101828311505304, 1.1, 1.1
-2.504253891646115, -2.4022769204568175, 1.1, 1.1
-2.8170794866491806, -2.702779037728192, 1.1, 1.1
-3.129853047629715, -3.0033368314037103, 1.1, 1.1
-3.4425728401202575, -3.303952469567638, 1.1, 1.1
-3.7552367827599307, -3.6046282937509835, 1.1, 1.1
-4.06784322780468, -3.9053662985912694, 1.1, 1.1
-4.380390180616981, -4.206168912342894, 1.1, 1.1
-4.69287590672941, -4.507038129643412, 1.1, 1.1
-5.005298411504424, -4.8079762920238, 1.1, 1.1
-5.317655873751262, -5.1089855675683395, 1.1, 1.1
-5.629946559002478, -5.410068124361314, 1.1, 1.1
-5.9421683858971805, -5.711226217210361, 1.1, 1.1
-6.254319706691313, -6.012462014199762, 1.1, 1.1
-6.56639852674737, -6.313777770137154, 1.1, 1.1
-6.8784031115979065, -6.615175653106804, 1.1, 1.1
-7.190331466605402, -6.916657831193011, 1.1, 1.1
-7.502181770579057, -7.218226559203379, 1.1, 1.1
-7.8139522023281085, -7.519884005222207, 1.1, 1.1
-8.125640853938371, -7.821632424057149, 1.1, 1.1
-8.437245904219065, -8.123474070515824, 1.1, 1.1
-8.74876553197939, -8.425410939235775, 1.1, 1.1
-9.060197742581826, -8.72744545847138, 1.1, 1.1
-9.371562569125057, -9.029555600486443, 1.1, 1.1
-9.682976914713088, -9.331611366947934, 1.1, 1.1
-9.994585260481873, -9.633452493066383, 1.1, 1.1
-10.306532087567373, -9.934918540605576, 1.1, 1.1
-10.61896179038219, -10.235849158052694, 1.1, 1.1
-10.932018589892133, -10.536084080618267, 1.1, 1.1
-11.245847140679956, -10.835462956789438, 1.1, 1.1
-11.560591750434838, -11.133825348329996, 1.1, 1.1
-11.876396813569384, -11.431010903727133, 1.1, 1.1
-12.1934067244962, -11.72685935819135, 1.1, 1.1
-12.511765964351204, -12.021210360209823, 1.1, 1.1
-12.831618840823634, -12.313903558269693, 1.1, 1.1
-13.153109835049445, -12.604778514134786, 1.1, 1.1
-13.476383341441242, -12.893674876292241, 1.1, 1.1
-13.801583841134981, -13.180432466675965, 1.1, 1.1
-14.128855555096493, -13.464890760326375, 1.1, 1.1
-14.458314605919465, -13.746914121891349, 1.1, 1.1
-14.789953969010826, -14.026472891978022, 1.1, 1.1
-15.123733664896603, -14.303566203352695, 1.1, 1.1
-15.459613453932677, -14.578193102058284, 1.1, 1.1
-15.797553269921675, -14.85035280758445, 1.1, 1.1
-16.137513133389625, -15.120044192527361, 1.1, 1.1
-16.479452804692407, -15.387266563100086, 1.1, 1.1
-16.82333213090926, -15.652018965345501, 1.1, 1.1
-17.1691112192896, -15.914300358583173, 1.1, 1.1
-17.516749830189294, -16.174110049026144, 1.1, 1.1
-17.866207897410966, -16.43144690927059, 1.1, 1.1
-18.21744526803388, -16.686310158806148, 1.1, 1.1
-18.570421875860706, -16.938698930399127, 1.1, 1.1
-18.925097741417396, -17.188612183369088, 1.1, 1.1
-19.281432538336496, -17.436049137205664, 1.1, 1.1
-19.639386373867392, -17.681008837951815, 1.1, 1.1
-19.99894675984465, -17.923446016007883, 1.1, 1.1
-20.36021707052643, -18.16313137478114, 1.1, 1.1
-20.72333033956371, -18.39978748620804, 1.1, 1.1
-21.088419947500984, -18.63313718239506, 1.1, 1.1
-21.455619101435982, -18.862903122002027, 1.1, 1.1
-21.825060835019713, -19.08880813713545, 1.1, 1.1
-22.19687852879666, -19.310574886455125, 1.1, 1.1
-22.571205389864556, -19.5279260286208, 1.1, 1.1
-22.948081397697393, -19.740799990039154, 1.1, 1.1
-23.326118978360384, -19.952435021380484, 1.1, 1.1
-23.702815035198558, -20.16864922015336, 1.1, 1.1
-24.075636551993945, -20.395329368776093, 1.1, 1.1
-24.44252003285878, -20.63708117203173, 1.1, 1.1
-24.808500896879043, -20.879139802573725, 1.1, 1.1
-25.184117507919314, -21.091725148613648, 1.1, 1.1
-25.580051930469825, -21.24466441493956, 1.1, 1.1
-26.005149254577855, -21.308851417078518, 1.1, 1.1
-26.441155771684556, -21.270910375916035, 1.1, 1.1
-26.84915410891758, -21.1294601350468, 1.1, 1.1
-27.1897069867959, -20.883421595566368, 1.1, 1.1
-27.42495072140393, -20.533988417952145, 1.1, 1.1
-27.539525649793877, -20.11485306542503, 1.1, 1.1
-27.537067389121663, -19.681517975036293, 1.1, 1.1
-27.452285494302373, -19.25565583752008, 1.1, 1.1
-27.340131795705236, -18.833786357277834, 1.1, 1.1
-27.223778864764597, -18.414259015114162, 1.1, 1.1
-27.102793344795924, -17.997190107069425, 1.1, 1.1
-26.976203240257902, -17.582736168828188, 1.1, 1.1
-26.843036468885842, -17.171053822798296, 1.1, 1.1
-26.70232120858518, -16.76229960466429, 1.1, 1.1
-26.55308537709121, -16.356630136834077, 1.1, 1.1
-26.394357065586004, -15.954201954992127, 1.1, 1.1
-26.22523391739507, -15.555175584098071, 1.1, 1.1
-26.045753570461414, -15.159764970707949, 1.1, 1.1
-25.85662897761738, -14.768222479831152, 1.1, 1.1
-25.65858774794505, -14.380801170264045, 1.1, 1.1
-25.45235749052646, -13.99775418752636, 1.1, 1.1
-25.238665727720285, -13.619334763861188, 1.1, 1.1
-25.018240155331974, -13.24579595806489, 1.1, 1.1
-24.79180829572019, -12.877390828933816, 1.1, 1.1
-24.560139558631775, -12.514230122212634, 1.1, 1.1
-24.324550751730857, -12.154550144706866, 1.1, 1.1
-24.08674494857562, -11.795265712495878, 1.1, 1.1
-23.848433374721164, -11.43326432379723, 1.1, 1.1
-23.611686724095023, -11.06550961994808, 1.1, 1.1
-23.38324895291376, -10.689956143521835, 1.1, 1.1
-23.173129585926073, -10.305250663038596, 1.1, 1.1
-22.991404924876267, -9.9100544298214, 1.1, 1.1
-22.847650183871455, -9.503218966269081, 1.1, 1.1
-22.745098323456315, -9.08600575053515, 1.1, 1.1
-22.682630351975806, -8.661330075456554, 1.1, 1.1
-22.659041941977918, -8.232139494964269, 1.1, 1.1
-22.673128852733985, -7.801381649712641, 1.1, 1.1
-22.723686930238728, -7.3720040936326425, 1.1, 1.1
-22.80951184704013, -6.946954554101992, 1.1, 1.1
-22.929399535856273, -6.529180498328292, 1.1, 1.1
-23.082145582511764, -6.121629566965853, 1.1, 1.1
-23.266545919724702, -5.727249400669057, 1.1, 1.1
-23.481396220043045, -5.348987553368859, 1.1, 1.1
-23.72549224273814, -4.98979166571959, 1.1, 1.1
-23.997629833804726, -4.652609378375593, 1.1, 1.1
-24.296604752514142, -4.340388245267862, 1.1, 1.1
-24.621212758137702, -4.056075907050723, 1.1, 1.1
-24.9702496099468, -3.8026198309317643, 1.1, 1.1
-25.34235678633589, -3.5828003681828364, 1.1, 1.1
-25.734367930309162, -3.3974343662346795, 1.1, 1.1
-26.141943144215446, -3.246064532752377, 1.1, 1.1
-26.560722497304912, -3.1282122414518225, 1.1, 1.1
-26.986357332865925, -3.043387071670429, 1.1, 1.1
-27.415606798527072, -2.9899640876072033, 1.1, 1.1
-27.8472617970509, -2.964236732388841, 1.1, 1.1
-28.28033116703114, -2.962275570078754, 1.1, 1.1
-28.713826001869137, -2.980148996656123, 1.1, 1.1
-29.147003342446165, -3.0137220417952557, 1.1, 1.1
-29.57956633466357, -3.058490033440242, 1.1, 1.1
-30.01126538865984, -3.1099091872948996, 1.1, 1.1
-30.44185351627456, -3.163455578714957, 1.1, 1.1
-30.871326468062577, -3.216454225324245, 1.1, 1.1
-31.300116646751302, -3.269554511724268, 1.1, 1.1
-31.72870172466779, -3.3237528894469337, 1.1, 1.1
-32.15755677243796, -3.380044335726838, 1.1, 1.1
-32.58688506964327, -3.4392762246213207, 1.1, 1.1
-33.016406586519004, -3.5020334185438493, 1.1, 1.1
-33.44579099374531, -3.5688735487695062, 1.1, 1.1
-33.874708048725694, -3.640354246573304, 1.1, 1.1
-34.30282759558706, -3.7170331432302897, 1.1, 1.1
-34.72981921828619, -3.799467870015528, 1.1, 1.1
-35.15535293439672, -3.88821614492742, 1.1, 1.1
-35.579098414598775, -3.9838354257942536, 1.1, 1.1
-36.00072532957253, -4.086883517337818, 1.1, 1.1
-36.419903610168255, -4.197918050833178, 1.1, 1.1
-36.83630292706607, -4.317496484108604, 1.1, 1.1
-37.24959303766952, -4.446176708609274, 1.1, 1.1
-37.659443786105484, -4.584516182163475, 1.1, 1.1
-38.06552492977748, -4.7330725360462385, 1.1, 1.1
-38.46750622608905, -4.892403574979387, 1.1, 1.1
-38.86504745925604, -5.063080198913677, 1.1, 1.1
-39.256998070316406, -5.246764547976258, 1.1, 1.1
-39.64081428935419, -5.446993981743738, 1.1, 1.1
-40.01381506335728, -5.6674913610831945, 1.1, 1.1
-40.37329392936587, -5.911970701077778, 1.1, 1.1
-40.714600693507634, -6.183489867786297, 1.1, 1.1
-41.02978351645581, -6.4839917248875745, 1.1, 1.1
-41.31057002930465, -6.8153108185701115, 1.1, 1.1
-41.548682919916324, -7.179223763810678, 1.1, 1.1
-41.73546285970404, -7.573213501491584, 1.1, 1.1
-41.86161319002811, -7.987595546058348, 1.1, 1.1
-41.917776632612544, -8.412004633494723, 1.1, 1.1
-41.89470466028851, -8.836090502927668, 1.1, 1.1
-41.7908391142506, -9.250544874785765, 1.1, 1.1
-41.617276163085215, -9.647774684327768, 1.1, 1.1
-41.38629080615968, -10.020346524538265, 1.1, 1.1
-41.11012326676963, -10.360874859702609, 1.1, 1.1
-40.79868177676649, -10.665172945642718, 1.1, 1.1
-40.45811623727601, -10.93420930896506, 1.1, 1.1
-40.0942356398528, -11.169419915245374, 1.1, 1.1
-39.712795034114734, -11.371985329732082, 1.1, 1.1
-39.31603257681865, -11.526545889477427, 1.1, 1.1
-38.90067827654046, -11.59198023386039, 1.1, 1.1
-38.469076179272896, -11.56292096673112, 1.1, 1.1
-38.03313583209822, -11.493832359667515, 1.1, 1.1
-37.60034206899077, -11.425198269790927, 1.1, 1.1
-37.16990223834032, -11.367247978871983, 1.1, 1.1
-36.74029989528291, -11.327565012081116, 1.1, 1.1
-36.31003463877813, -11.3136805136728, 1.1, 1.1
-35.87858231277214, -11.329972105964496, 1.1, 1.1
-35.44696703355219, -11.375959775098176, 1.1, 1.1
-35.01810626203953, -11.453588379390155, 1.1, 1.1
-34.597767362570735, -11.569313606572052, 1.1, 1.1
-34.19950407061743, -11.736474204878975, 1.1, 1.1
-33.84847535642495, -11.978406045852656, 1.1, 1.1
-33.567945891647526, -12.309970740121658, 1.1, 1.1
-33.36741249246493, -12.70147203739727, 1.1, 1.1
-33.24868672337243, -13.115474233599375, 1.1, 1.1
