# d0951efe-13ff-48f4-9ef6-a22716015638
# 603fd3987364b09f9aacb70d1ed12c268e24dd56
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000;0.5128963;-0.6431496;3.9066877;0.0002157;8.0000000;0.0000000
0.1999530;0.3686699;-0.7816412;3.9067312;0.0002200;8.0000000;0.0000000
0.3999059;0.2244497;-0.9201392;3.9067756;0.0002243;8.0000000;0.0000000
0.5998589;0.0802356;-1.0586437;3.9068209;0.0002288;8.0000000;0.0000000
0.7998118;-0.0639721;-1.1971548;3.9068672;0.0002335;8.0000000;0.0000000
0.9997648;-0.2081734;-1.3356726;3.9069143;0.0002381;8.0000000;0.0000000
1.1997177;-0.3523680;-1.4741973;3.9069624;0.0002430;8.0000000;0.0000000
1.3996707;-0.4965560;-1.6127289;3.9070115;0.0002479;8.0000000;0.0000000
1.5996236;-0.6407370;-1.7512677;3.9070615;0.0002529;8.0000000;0.0000000
1.7995766;-0.7849111;-1.8898139;3.9071126;0.0002581;8.0000000;0.0000000
1.9995295;-0.9290780;-2.0283674;3.9071647;0.0002632;8.0000000;0.0000000
2.1994825;-1.0732376;-2.1669285;3.9072179;0.0002687;8.0000000;0.0000000
2.3994354;-1.2173898;-2.3054974;3.9072722;0.0002742;8.0000000;0.0000000
2.5993884;-1.3615344;-2.4440742;3.9073276;0.0002798;8.0000000;0.0000000
2.7993414;-1.5056712;-2.5826591;3.9073841;0.0002855;8.0000000;0.0000000
2.9992943;-1.6498001;-2.7212521;3.9074418;0.0002913;8.0000000;0.0000000
3.1992473;-1.7939209;-2.8598536;3.9075006;0.0002973;8.0000000;0.0000000
3.3992002;-1.9380335;-2.9984636;3.9075607;0.0003034;8.0000000;0.0000000
3.5991532;-2.0821377;-3.1370824;3.9076219;0.0003096;8.0000000;0.0000000
3.7991061;-2.2262333;-3.2757101;3.9076845;0.0003160;8.0000000;0.0000000
3.9990591;-2.3703201;-3.4143469;3.9077483;0.0003223;8.0000000;0.0000000
4.1990120;-2.5143981;-3.5529930;3.9078134;0.0003290;8.0000000;0.0000000
4.3989650;-2.6584668;-3.6916486;3.9078798;0.0003356;8.0000000;0.0000000
4.5989179;-2.8025263;-3.8303139;3.9079476;0.0003424;8.0000000;0.0000000
4.7988709;-2.9465763;-3.9689890;3.9080168;0.0003494;8.0000000;0.0000000
4.9988239;-3.0906166;-4.1076741;3.9080873;0.0003563;8.0000000;0.0000000
5.1987768;-3.2346470;-4.2463696;3.9081593;0.0003636;8.0000000;0.0000000
5.3987298;-3.3786674;-4.3850754;3.9082327;0.0003708;8.0000000;0.0000000
5.5986827;-3.5226774;-4.5237920;3.9083076;0.0003782;8.0000000;0.0000000
5.7986357;-3.6666770;-4.6625195;3.9083840;0.0003857;8.0000000;0.0000000
5.9985886;-3.8106658;-4.8012581;3.9084619;0.0003933;8.0000000;0.0000000
6.1985416;-3.9546438;-4.9400080;3.9085413;0.0004011;8.0000000;0.0000000
6.3984945;-4.0986106;-5.0787694;3.9086223;0.0004089;8.0000000;0.0000000
6.5984475;-4.2425661;-5.2175426;3.9087048;0.0004169;8.0000000;0.0000000
6.7984004;-4.3865100;-5.3563278;3.9087890;0.0004250;8.0000000;0.0000000
6.9983534;-4.5304421;-5.4951253;3.9088748;0.0004331;8.0000000;0.0000000
7.1983063;-4.6743622;-5.6339352;3.9089622;0.0004415;8.0000000;0.0000000
7.3982593;-4.8182700;-5.7727578;3.9090513;0.0004498;8.0000000;0.0000000
7.5982123;-4.9621654;-5.9115934;3.9091421;0.0004584;8.0000000;0.0000000
7.7981652;-5.1060480;-6.0504421;3.9092346;0.0004670;8.0000000;0.0000000
7.9981182;-5.2499177;-6.1893043;3.9093289;0.0004757;8.0000000;0.0000000
8.1980711;-5.3937741;-6.3281802;3.9094249;0.0004846;8.0000000;0.0000000
8.3980241;-5.5376171;-6.4670700;3.9095226;0.0004935;8.0000000;0.0000000
8.5979770;-5.6814463;-6.6059739;3.9096213;0.0004841;8.0000000;0.0000000
8.7979300;-5.8252622;-6.7448917;3.9097154;0.0004574;8.0000000;0.0000000
8.9978829;-5.9690655;-6.8838228;3.9098042;0.0004284;8.0000000;0.0000000
9.1978359;-6.1128570;-7.0227652;3.9098730;0.0002605;8.0000000;0.0000000
9.3977888;-6.2566418;-7.1617154;3.9099083;0.0000926;8.0000000;0.0000000
9.5977418;-6.4004237;-7.3006681;3.9099095;-0.0000858;8.0000000;0.0000000
9.7976948;-6.5442079;-7.4396182;3.9098736;-0.0002740;8.0000000;0.0000000
9.9976477;-6.6880007;-7.5785614;3.9098000;-0.0004615;8.0000000;0.0000000
10.1976007;-6.8318046;-7.7174899;3.9096923;-0.0006153;8.0000000;0.0000000
10.3975536;-6.9756268;-7.8564018;3.9095539;-0.0007691;8.0000000;0.0000000
10.5975066;-7.1194701;-7.9952914;3.9093823;-0.0009694;8.0000000;0.0000000
10.7974595;-7.2633401;-8.1341527;3.9091642;-0.0012127;8.0000000;0.0000000
10.9974125;-7.4072448;-8.2729802;3.9088974;-0.0014563;8.0000000;0.0000000
11.1973654;-7.5511885;-8.4117642;3.9085803;-0.0017149;8.0000000;0.0000000
11.3973184;-7.6951807;-8.5504997;3.9082116;-0.0019736;8.0000000;0.0000000
11.5972713;-7.8392274;-8.6891782;3.9077916;-0.0022230;8.0000000;0.0000000
11.7972243;-7.9833355;-8.8277924;3.9073230;-0.0024640;8.0000000;0.0000000
11.9971772;-8.1275128;-8.9663366;3.9068062;-0.0027049;8.0000000;0.0000000
12.1971302;-8.2717636;-9.1048013;3.9062417;-0.0029410;8.0000000;0.0000000
12.3970832;-8.4160967;-9.2431822;3.9056301;-0.0031770;8.0000000;0.0000000
12.5970361;-8.5605175;-9.3814711;3.9049712;-0.0034128;8.0000000;0.0000000
12.7969891;-8.7050324;-9.5196612;3.9042653;-0.0036484;8.0000000;0.0000000
12.9969420;-8.8496490;-9.6577468;3.9035122;-0.0038839;8.0000000;0.0000000
13.1968950;-8.9943713;-9.7957186;3.9027121;-0.0041192;8.0000000;0.0000000
13.3968479;-9.1392082;-9.9335721;3.9018650;-0.0043544;8.0000000;0.0000000
13.5968009;-9.2841648;-10.0712992;3.9009708;-0.0045896;8.0000000;0.0000000
13.7967538;-9.4292476;-10.2088930;3.9000296;-0.0048246;8.0000000;0.0000000
13.9967068;-9.5744639;-10.3463477;3.8990414;-0.0050596;8.0000000;0.0000000
14.1966597;-9.7198178;-10.4836540;3.8980062;-0.0052944;8.0000000;0.0000000
14.3966127;-9.8653180;-10.6208074;3.8969241;-0.0055292;8.0000000;0.0000000
14.5965656;-10.0109694;-10.7577995;3.8957951;-0.0057638;8.0000000;0.0000000
14.7965186;-10.1567784;-10.8946234;3.8946191;-0.0059984;8.0000000;0.0000000
14.9964716;-10.3027523;-11.0312733;3.8933963;-0.0062329;8.0000000;0.0000000
15.1964245;-10.4488950;-11.1677398;3.8921266;-0.0064673;8.0000000;0.0000000
15.3963775;-10.5952150;-11.3040181;3.8908100;-0.0067016;8.0000000;0.0000000
15.5963304;-10.7417172;-11.4400999;3.8894466;-0.0069358;8.0000000;0.0000000
15.7962834;-10.8884078;-11.5759782;3.8880363;-0.0071699;8.0000000;0.0000000
15.9962363;-11.0352940;-11.7116470;3.8865793;-0.0074040;8.0000000;0.0000000
16.1961893;-11.1823795;-11.8470969;3.8850754;-0.0076380;8.0000000;0.0000000
16.3961422;-11.3296726;-11.9823228;3.8835248;-0.0078719;8.0000000;0.0000000
16.5960952;-11.4771781;-12.1173165;3.8819274;-0.0081057;8.0000000;0.0000000
16.7960481;-11.6249020;-12.2520708;3.8802833;-0.0083394;8.0000000;0.0000000
16.9960011;-11.7728512;-12.3865793;3.8785924;-0.0085731;8.0000000;0.0000000
17.1959541;-11.9210295;-12.5208328;3.8768549;-0.0088067;8.0000000;0.0000000
17.3959070;-12.0694449;-12.6548260;3.8750706;-0.0090402;8.0000000;0.0000000
17.5958600;-12.2181020;-12.7885505;3.8732396;-0.0092737;8.0000000;0.0000000
17.7958129;-12.3670066;-12.9219989;3.8713620;-0.0095071;8.0000000;0.0000000
17.9957659;-12.5161655;-13.0551648;3.8694377;-0.0097405;8.0000000;0.0000000
18.1957188;-12.6655821;-13.1880388;3.8674667;-0.0099737;8.0000000;0.0000000
18.3956718;-12.8152644;-13.3206153;3.8654492;-0.0102069;8.0000000;0.0000000
18.5956247;-12.9652166;-13.4528858;3.8633849;-0.0104401;8.0000000;0.0000000
18.7955777;-13.1154444;-13.5848428;3.8612741;-0.0106732;8.0000000;0.0000000
18.9955306;-13.2659544;-13.7164797;3.8591167;-0.0109063;8.0000000;0.0000000
19.1954836;-13.4167498;-13.8477869;3.8569127;-0.0111392;8.0000000;0.0000000
19.3954365;-13.5678381;-13.9787587;3.8546620;-0.0113722;8.0000000;0.0000000
19.5953895;-13.7192236;-14.1093863;3.8523648;-0.0116051;8.0000000;0.0000000
19.7953425;-13.8709117;-14.2396622;3.8500211;-0.0118380;8.0000000;0.0000000
19.9952954;-14.0229084;-14.3695793;3.8476307;-0.0120709;8.0000000;0.0000000
20.1952484;-14.1752171;-14.4991282;3.8451939;-0.0123037;8.0000000;0.0000000
20.3952013;-14.3278449;-14.6283027;3.8427104;-0.0125365;8.0000000;0.0000000
20.5951543;-14.4807958;-14.7570939;3.8401805;-0.0127692;8.0000000;0.0000000
20.7951072;-14.6340748;-14.8854941;3.8376040;-0.0130019;8.0000000;0.0000000
20.9950602;-14.7876879;-15.0134960;3.8349809;-0.0132347;8.0000000;0.0000000
21.1950131;-14.9416380;-15.1410900;3.8323113;-0.0134674;8.0000000;0.0000000
21.3949661;-15.0959319;-15.2682696;3.8295952;-0.0137001;8.0000000;0.0000000
21.5949190;-15.2505734;-15.3950259;3.8268326;-0.0139328;8.0000000;0.0000000
21.7948720;-15.4055673;-15.5213507;3.8240234;-0.0141654;8.0000000;0.0000000
21.9948250;-15.5609191;-15.6472366;3.8211677;-0.0143982;8.0000000;0.0000000
22.1947779;-15.7166316;-15.7726738;3.8182655;-0.0146308;8.0000000;0.0000000
22.3947309;-15.8727111;-15.8976556;3.8153168;-0.0148635;8.0000000;0.0000000
22.5946838;-16.0291611;-16.0221728;3.8123215;-0.0150962;8.0000000;0.0000000
