# x_m, y_m, w_tr_right_m, w_tr_left_m
0.0, 0.0, 1.1, 1.1
-0.3388605540203788, 0.09900587647040235, 1.1, 1.1
-0.6777198370735213, 0.19802538053396565, 1.1, 1.1
-1.0165779903780126, 0.29705837097209997, 1.1, 1.1
-1.3554352257617157, 0.39610470656623004, 1.1, 1.1
-1.6942917550525127, 0.49516438731635576, 1.1, 1.1
-2.0331477194689795, 0.5942373426131798, 1.1, 1.1
-2.3720032602297008, 0.6933233606288343, 1.1, 1.1
-2.7108585891625494, 0.7924224413633144, 1.1, 1.1
-3.049713918095398, 0.8915343729887572, 1.1, 1.1
-3.3885693882468217, 0.9906592261144403, 1.1, 1.1
-3.727425140835416, 1.0897967183032136, 1.1, 1.1
-4.066281458298341, 1.1889469201643543, 1.1, 1.1
-4.405138411244883, 1.2881096198700002, 1.1, 1.1
-4.743996282112204, 1.3872847468108582, 1.1, 1.1
-5.082855141509601, 1.4864722303776312, 1.1, 1.1
-5.421715271874235, 1.5856719293517438, 1.1, 1.1
-5.760576814424689, 1.684883843733196, 1.1, 1.1
-6.099439910379541, 1.7841077616941103, 1.1, 1.1
-6.4383047715666715, 1.8833436832344914, 1.1, 1.1
-6.777171539204656, 1.9825913965264619, 1.1, 1.1
-7.116040495730656, 2.0818509015700264, 1.1, 1.1
-7.454911711753978, 2.1811220571465952, 1.1, 1.1
-7.793785399102474, 2.28040479264689, 1.1, 1.1
-8.132661698994742, 2.3796990374616045, 1.1, 1.1
-8.471540893867939, 2.4790046503721723, 1.1, 1.1
-8.810423054331354, 2.578321490159999, 1.1, 1.1
-9.149308462822157, 2.677649486215802, 1.1, 1.1
-9.488197189949627, 2.7769886385395757, 1.1, 1.1
-9.827089518150942, 2.876338735303453, 1.1, 1.1
-10.165985588644679, 2.9756997765074287, 1.1, 1.1
-10.504885472040124, 3.07507155032363, 1.1, 1.1
-10.843789521383746, 3.174454056752057, 1.1, 1.1
-11.182697807284823, 3.2738470839648417, 1.1, 1.1
-11.521610541571226, 3.3732507025712724, 1.1, 1.1
-11.860527936070838, 3.472664700743471, 1.1, 1.1
-12.199450132002227, 3.572089007872154, 1.1, 1.1
-12.538377270583993, 3.671523482738738, 1.1, 1.1
-12.877309563643994, 3.7709681253432215, 1.1, 1.1
-13.21624722301011, 3.870422723857728, 1.1, 1.1
