# e905e3a4-168a-4984-a68f-da2be39d239d
# 603fd3987364b09f9aacb70d1ed12c268e24dd56
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000;0.0776411;0.0197835;2.7859471;0.0001430;8.0000000;0.0000000
0.1999089;-0.1097591;0.0893876;2.7859856;0.0002420;8.0000000;0.0000000
0.3998177;-0.2971626;0.1589826;2.7860438;0.0003410;8.0000000;0.0000000
0.5997266;-0.4845709;0.2285648;2.7861219;0.0004399;8.0000000;0.0000000
0.7996355;-0.6719853;0.2981306;2.7862197;0.0005388;8.0000000;0.0000000
0.9995444;-0.8594072;0.3676762;2.7863373;0.0006377;8.0000000;0.0000000
1.1994532;-1.0468379;0.4371979;2.7864747;0.0007362;8.0000000;0.0000000
1.3993621;-1.2342789;0.5066920;2.7866317;0.0008347;8.0000000;0.0000000
1.5992710;-1.4217315;0.5761548;2.7868084;0.0009329;8.0000000;0.0000000
1.7991798;-1.6091970;0.6455826;2.7870047;0.0010311;8.0000000;0.0000000
1.9990887;-1.7966770;0.7149719;2.7872206;0.0011292;8.0000000;0.0000000
2.1989976;-1.9841723;0.7843187;2.7874561;0.0012270;8.0000000;0.0000000
2.3989064;-2.1716848;0.8536197;2.7877112;0.0013247;8.0000000;0.0000000
2.5988153;-2.3592157;0.9228709;2.7879857;0.0014223;8.0000000;0.0000000
2.7987242;-2.5467661;0.9920688;2.7882798;0.0015197;8.0000000;0.0000000
2.9986331;-2.7343379;1.0612099;2.7885933;0.0016171;8.0000000;0.0000000
3.1985419;-2.9219315;1.1302901;2.7889263;0.0017142;8.0000000;0.0000000
3.3984508;-3.1095492;1.1993061;2.7892787;0.0018113;8.0000000;0.0000000
3.5983597;-3.2971917;1.2682542;2.7896505;0.0019081;8.0000000;0.0000000
3.7982685;-3.4848604;1.3371307;2.7900416;0.0020049;8.0000000;0.0000000
3.9981774;-3.6725571;1.4059320;2.7904521;0.0021016;8.0000000;0.0000000
4.1980863;-3.8602821;1.4746543;2.7908818;0.0021980;8.0000000;0.0000000
4.3979951;-4.0480376;1.5432943;2.7913309;0.0022944;8.0000000;0.0000000
4.5979040;-4.2358246;1.6118481;2.7917992;0.0023906;8.0000000;0.0000000
4.7978129;-4.4236441;1.6803121;2.7922867;0.0024867;8.0000000;0.0000000
4.9977218;-4.6114982;1.7486829;2.7927934;0.0025828;8.0000000;0.0000000
5.1976306;-4.7993867;1.8169564;2.7933193;0.0026786;8.0000000;0.0000000
5.3975395;-4.9873123;1.8851295;2.7938643;0.0027743;8.0000000;0.0000000
5.5974484;-5.1752756;1.9531983;2.7944285;0.0028699;8.0000000;0.0000000
5.7973572;-5.3632778;2.0211592;2.7950118;0.0029654;8.0000000;0.0000000
5.9972661;-5.5513207;2.0890089;2.7956141;0.0030609;8.0000000;0.0000000
6.1971750;-5.7394043;2.1567432;2.7962355;0.0031560;8.0000000;0.0000000
6.3970838;-5.9275312;2.2243590;2.7968760;0.0032512;8.0000000;0.0000000
6.5969927;-6.1157018;2.2918524;2.7975354;0.0033462;8.0000000;0.0000000
6.7969016;-6.3039174;2.3592199;2.7982138;0.0034411;8.0000000;0.0000000
6.9968105;-6.4921799;2.4264582;2.7989112;0.0035360;8.0000000;0.0000000
7.1967193;-6.6804889;2.4935630;2.7996275;0.0036306;8.0000000;0.0000000
7.3966282;-6.8688473;2.5605314;2.8003628;0.0037252;8.0000000;0.0000000
7.5965371;-7.0572552;2.6273594;2.8011169;0.0038196;8.0000000;0.0000000
7.7964459;-7.2457140;2.6940435;2.8018899;0.0039139;8.0000000;0.0000000
7.9963548;-7.4342256;2.7605803;2.8026818;0.0040083;8.0000000;0.0000000
8.1962637;-7.6227894;2.8269657;2.8034925;0.0041023;8.0000000;0.0000000
8.3961726;-7.8114083;2.8931967;2.8043220;0.0041964;8.0000000;0.0000000
8.5960814;-8.0000825;2.9592694;2.8051703;0.0042903;8.0000000;0.0000000
8.7959903;-8.1888132;3.0251801;2.8060373;0.0043842;8.0000000;0.0000000
8.9958992;-8.3776022;3.0909257;2.8069231;0.0044780;8.0000000;0.0000000
9.1958080;-8.5664489;3.1565019;2.8078277;0.0045715;8.0000000;0.0000000
9.3957169;-8.7553562;3.2219057;2.8087509;0.0046651;8.0000000;0.0000000
9.5956258;-8.9443243;3.2871332;2.8096928;0.0047585;8.0000000;0.0000000
9.7955346;-9.1333541;3.3521809;2.8106534;0.0048518;8.0000000;0.0000000
9.9954435;-9.3224476;3.4170455;2.8116327;0.0049452;8.0000000;0.0000000
10.1953524;-9.5116042;3.4817227;2.8126306;0.0050382;8.0000000;0.0000000
10.3952613;-9.7008264;3.5462097;2.8136471;0.0051313;8.0000000;0.0000000
