# 8a420960-7c69-446f-9d08-ab570221c48c
# 603fd3987364b09f9aacb70d1ed12c268e24dd56
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000;-0.7649403;0.1189676;1.5243179;-0.0001481;8.0000000;0.0000000
0.1999718;-0.7556463;0.3187233;1.5242887;-0.0001434;8.0000000;0.0000000
0.3999436;-0.7463467;0.5184788;1.5242605;-0.0001388;8.0000000;0.0000000
0.5999153;-0.7370414;0.7182339;1.5242332;-0.0001342;8.0000000;0.0000000
0.7998871;-0.7277308;0.9179888;1.5242068;-0.0001297;8.0000000;0.0000000
0.9998589;-0.7184151;1.1177435;1.5241813;-0.0001253;8.0000000;0.0000000
1.1998307;-0.7090943;1.3174979;1.5241566;-0.0001218;8.0000000;0.0000000
1.3998024;-0.6997687;1.5172521;1.5241326;-0.0001184;8.0000000;0.0000000
1.5997742;-0.6904383;1.7170061;1.5241093;-0.0001151;8.0000000;0.0000000
1.7997460;-0.6811033;1.9167599;1.5240866;-0.0001119;8.0000000;0.0000000
1.9997178;-0.6717639;2.1165135;1.5240645;-0.0001087;8.0000000;0.0000000
2.1996896;-0.6624201;2.3162668;1.5240431;-0.0001055;8.0000000;0.0000000
2.3996613;-0.6530721;2.5160200;1.5240223;-0.0001023;8.0000000;0.0000000
2.5996331;-0.6437200;2.7157730;1.5240022;-0.0000990;8.0000000;0.0000000
2.7996049;-0.6343639;2.9155258;1.5239827;-0.0000957;8.0000000;0.0000000
2.9995767;-0.6250041;3.1152784;1.5239639;-0.0000924;8.0000000;0.0000000
3.1995484;-0.6156405;3.3150308;1.5239458;-0.0000886;8.0000000;0.0000000
3.3995202;-0.6062734;3.5147831;1.5239285;-0.0000848;8.0000000;0.0000000
3.5994920;-0.5969029;3.7145352;1.5239119;-0.0000809;8.0000000;0.0000000
3.7994638;-0.5875292;3.9142871;1.5238961;-0.0000770;8.0000000;0.0000000
3.9994356;-0.5781524;4.1140390;1.5238811;-0.0000730;8.0000000;0.0000000
4.1994073;-0.5687727;4.3137906;1.5238669;-0.0000691;8.0000000;0.0000000
4.3993791;-0.5593903;4.5135422;1.5238535;-0.0000651;8.0000000;0.0000000
4.5993509;-0.5500052;4.7132936;1.5238409;-0.0000611;8.0000000;0.0000000
4.7993227;-0.5406177;4.9130449;1.5238291;-0.0000572;8.0000000;0.0000000
4.9992944;-0.5312279;5.1127961;1.5238180;-0.0000532;8.0000000;0.0000000
5.1992662;-0.5218360;5.3125472;1.5238078;-0.0000492;8.0000000;0.0000000
5.3992380;-0.5124422;5.5122982;1.5237984;-0.0000452;8.0000000;0.0000000
5.5992098;-0.5030465;5.7120492;1.5237897;-0.0000412;8.0000000;0.0000000
5.7991816;-0.4936492;5.9118000;1.5237819;-0.0000372;8.0000000;0.0000000
5.9991533;-0.4842504;6.1115508;1.5237749;-0.0000331;8.0000000;0.0000000
6.1991251;-0.4748502;6.3113015;1.5237686;-0.0000291;8.0000000;0.0000000
6.3990969;-0.4654489;6.5110522;1.5237632;-0.0000250;8.0000000;0.0000000
6.5990687;-0.4560466;6.7108028;1.5237586;-0.0000210;8.0000000;0.0000000
6.7990404;-0.4466435;6.9105534;1.5237549;-0.0000169;8.0000000;0.0000000
6.9990122;-0.4372397;7.1103039;1.5237519;-0.0000128;8.0000000;0.0000000
7.1989840;-0.4278354;7.3100544;1.5237497;-0.0000087;8.0000000;0.0000000
7.3989558;-0.4184307;7.5098049;1.5237484;-0.0000046;8.0000000;0.0000000
7.5989276;-0.4090259;7.7095554;1.5237479;-0.0000005;8.0000000;0.0000000
7.7988993;-0.3996210;7.9093059;1.5237482;0.0000036;8.0000000;0.0000000
7.9988711;-0.3902163;8.1090564;1.5237493;0.0000078;8.0000000;0.0000000
8.1988429;-0.3808119;8.3088069;1.5237513;0.0000119;8.0000000;0.0000000
8.3988147;-0.3714080;8.5085575;1.5237541;0.0000161;8.0000000;0.0000000
8.5987864;-0.3620047;8.7083081;1.5237578;0.0000203;8.0000000;0.0000000
8.7987582;-0.3526022;8.9080587;1.5237622;0.0000244;8.0000000;0.0000000
8.9987300;-0.3432007;9.1078093;1.5237675;0.0000286;8.0000000;0.0000000
9.1987018;-0.3338003;9.3075600;1.5237737;0.0000328;8.0000000;0.0000000
9.3986736;-0.3244013;9.5073108;1.5237807;0.0000371;8.0000000;0.0000000
9.5986453;-0.3150037;9.7070616;1.5237885;0.0000413;8.0000000;0.0000000
9.7986171;-0.3056078;9.9068125;1.5237972;0.0000455;8.0000000;0.0000000
9.9985889;-0.2962137;10.1065636;1.5238067;0.0000498;8.0000000;0.0000000
10.1985607;-0.2868216;10.3063146;1.5238171;0.0000540;8.0000000;0.0000000
10.3985325;-0.2774316;10.5060658;1.5238283;0.0000583;8.0000000;0.0000000
10.5985042;-0.2680440;10.7058172;1.5238404;0.0000626;8.0000000;0.0000000
10.7984760;-0.2586589;10.9055686;1.5238533;0.0000669;8.0000000;0.0000000
10.9984478;-0.2492764;11.1053201;1.5238672;0.0000712;8.0000000;0.0000000
11.1984196;-0.2398968;11.3050718;1.5238818;0.0000755;8.0000000;0.0000000
11.3983913;-0.2305202;11.5048236;1.5238974;0.0000798;8.0000000;0.0000000
11.5983631;-0.2211468;11.7045756;1.5239137;0.0000842;8.0000000;0.0000000
11.7983349;-0.2117768;11.9043277;1.5239310;0.0000885;8.0000000;0.0000000
11.9983067;-0.2024103;12.1040800;1.5239492;0.0000929;8.0000000;0.0000000
12.1982785;-0.1930475;12.3038325;1.5239682;0.0000973;8.0000000;0.0000000
12.3982502;-0.1836886;12.5035852;1.5239881;0.0001017;8.0000000;0.0000000
12.5982220;-0.1743337;12.7033380;1.5240088;0.0001061;8.0000000;0.0000000
12.7981938;-0.1649831;12.9030910;1.5240305;0.0001105;8.0000000;0.0000000
12.9981656;-0.1556369;13.1028443;1.5240530;0.0001149;8.0000000;0.0000000
13.1981373;-0.1462953;13.3025977;1.5240764;0.0001187;8.0000000;0.0000000
13.3981091;-0.1369584;13.5023514;1.5241005;0.0001225;8.0000000;0.0000000
13.5980809;-0.1276264;13.7021053;1.5241253;0.0001251;8.0000000;0.0000000
13.7980527;-0.1182994;13.9018595;1.5241505;0.0001265;8.0000000;0.0000000
13.9980245;-0.1089775;14.1016139;1.5241759;0.0001280;8.0000000;0.0000000
14.1979962;-0.0996607;14.3013685;1.5242016;0.0001289;8.0000000;0.0000000
14.3979680;-0.0903490;14.5011234;1.5242275;0.0001298;8.0000000;0.0000000
14.5979398;-0.0810425;14.7008785;1.5242535;0.0001307;8.0000000;0.0000000
14.7979116;-0.0717412;14.9006338;1.5242797;0.0001315;8.0000000;0.0000000
14.9978833;-0.0624452;15.1003894;1.5243061;0.0001323;8.0000000;0.0000000
15.1978551;-0.0531545;15.3001452;1.5243326;0.0001328;8.0000000;0.0000000
15.3978269;-0.0438691;15.4999013;1.5243592;0.0001333;8.0000000;0.0000000
15.5977987;-0.0345890;15.6996576;1.5243859;0.0001338;8.0000000;0.0000000
15.7977705;-0.0253142;15.8994142;1.5244127;0.0001342;8.0000000;0.0000000
15.9977422;-0.0160448;16.0991711;1.5244396;0.0001347;8.0000000;0.0000000
16.1977140;-0.0067808;16.2989281;1.5244666;0.0001351;8.0000000;0.0000000
16.3976858;0.0024779;16.4986855;1.5244936;0.0001356;8.0000000;0.0000000
16.5976576;0.0117311;16.6984430;1.5245208;0.0001361;8.0000000;0.0000000
16.7976293;0.0209788;16.8982009;1.5245481;0.0001366;8.0000000;0.0000000
16.9976011;0.0302212;17.0979590;1.5245754;0.0001371;8.0000000;0.0000000
17.1975729;0.0394580;17.2977173;1.5246029;0.0001376;8.0000000;0.0000000
17.3975447;0.0486893;17.4974759;1.5246304;0.0001381;8.0000000;0.0000000
17.5975165;0.0579152;17.6972347;1.5246581;0.0001386;8.0000000;0.0000000
17.7974882;0.0671355;17.8969938;1.5246859;0.0001392;8.0000000;0.0000000
17.9974600;0.0763502;18.0967532;1.5247138;0.0001397;8.0000000;0.0000000
18.1974318;0.0855593;18.2965128;1.5247418;0.0001403;8.0000000;0.0000000
18.3974036;0.0947629;18.4962727;1.5247699;0.0001409;8.0000000;0.0000000
18.5973753;0.1039608;18.6960328;1.5247981;0.0001415;8.0000000;0.0000000
18.7973471;0.1131531;18.8957932;1.5248265;0.0001421;8.0000000;0.0000000
18.9973189;0.1223397;19.0955539;1.5248550;0.0001427;8.0000000;0.0000000
19.1972907;0.1315205;19.2953148;1.5248836;0.0001433;8.0000000;0.0000000
19.3972625;0.1406957;19.4950759;1.5249123;0.0001440;8.0000000;0.0000000
19.5972342;0.1498651;19.6948374;1.5249411;0.0001446;8.0000000;0.0000000
19.7972060;0.1590287;19.8945991;1.5249701;0.0001453;8.0000000;0.0000000
19.9971778;0.1681866;20.0943611;1.5249992;0.0001459;8.0000000;0.0000000
20.1971496;0.1773386;20.2941233;1.5250285;0.0001466;8.0000000;0.0000000
20.3971213;0.1864847;20.4938858;1.5250579;0.0001473;8.0000000;0.0000000
20.5970931;0.1956250;20.6936486;1.5250874;0.0001480;8.0000000;0.0000000
20.7970649;0.2047593;20.8934117;1.5251170;0.0001487;8.0000000;0.0000000
20.9970367;0.2138878;21.0931750;1.5251469;0.0001494;8.0000000;0.0000000
21.1970085;0.2230102;21.2929386;1.5251768;0.0001501;8.0000000;0.0000000
21.3969802;0.2321266;21.4927024;1.5252069;0.0001509;8.0000000;0.0000000
21.5969520;0.2412371;21.6924666;1.5252371;0.0001516;8.0000000;0.0000000
21.7969238;0.2503414;21.8922310;1.5252675;0.0001524;8.0000000;0.0000000
21.9968956;0.2594397;22.0919957;1.5252981;0.0001532;8.0000000;0.0000000
22.1968673;0.2685318;22.2917607;1.5253288;0.0001539;8.0000000;0.0000000
22.3968391;0.2776178;22.4915259;1.5253597;0.0001547;8.0000000;0.0000000
22.5968109;0.2866977;22.6912915;1.5253907;0.0001555;8.0000000;0.0000000
22.7967827;0.2957713;22.8910573;1.5254219;0.0001563;8.0000000;0.0000000
22.9967545;0.3048386;23.0908234;1.5254532;0.0001572;8.0000000;0.0000000
