# b6090c78-2c38-489a-9705-9f7a69b9fcd5
# 603fd3987364b09f9aacb70d1ed12c268e24dd56
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000;-0.8157367;-0.1041683;4.9585821;0.0041634;8.0000000;0.0000000
0.1999628;-0.7669226;-0.2980826;4.9594055;0.0040716;8.0000000;0.0000000
0.3999256;-0.7179510;-0.4919556;4.9602104;0.0039798;8.0000000;0.0000000
0.5998883;-0.6688251;-0.6857900;4.9609971;0.0038877;8.0000000;0.0000000
0.7998511;-0.6195484;-0.8795864;4.9617652;0.0037953;8.0000000;0.0000000
0.9998139;-0.5701251;-1.0733440;4.9625149;0.0037030;8.0000000;0.0000000
1.1997767;-0.5205577;-1.2670670;4.9632463;0.0036122;8.0000000;0.0000000
1.3997394;-0.4708507;-1.4607528;4.9639595;0.0035214;8.0000000;0.0000000
1.5997022;-0.4210073;-1.6544039;4.9646548;0.0034352;8.0000000;0.0000000
1.7996650;-0.3710308;-1.8480210;4.9653335;0.0033534;8.0000000;0.0000000
1.9996278;-0.3209248;-2.0416033;4.9659959;0.0032715;8.0000000;0.0000000
2.1995905;-0.2706917;-2.2351546;4.9666421;0.0031914;8.0000000;0.0000000
2.3995533;-0.2203354;-2.4286727;4.9672722;0.0031113;8.0000000;0.0000000
2.5995161;-0.1698586;-2.6221596;4.9678863;0.0030308;8.0000000;0.0000000
2.7994789;-0.1192645;-2.8156162;4.9684843;0.0029499;8.0000000;0.0000000
2.9994416;-0.0685566;-3.0090418;4.9690661;0.0028690;8.0000000;0.0000000
3.1994044;-0.0177373;-3.2024400;4.9696316;0.0027873;8.0000000;0.0000000
3.3993672;0.0331895;-3.3958087;4.9701808;0.0027056;8.0000000;0.0000000
3.5993300;0.0842210;-3.5891501;4.9707136;0.0026236;8.0000000;0.0000000
3.7992927;0.1353540;-3.7824650;4.9712300;0.0025412;8.0000000;0.0000000
3.9992555;0.1865849;-3.9757527;4.9717299;0.0024587;8.0000000;0.0000000
4.1992183;0.2379112;-4.1690169;4.9722132;0.0023755;8.0000000;0.0000000
4.3991811;0.2893291;-4.3622556;4.9726799;0.0022923;8.0000000;0.0000000
4.5991438;0.3408356;-4.5554710;4.9731300;0.0022087;8.0000000;0.0000000
4.7991066;0.3924276;-4.7486639;4.9735633;0.0021248;8.0000000;0.0000000
4.9990694;0.4441013;-4.9418338;4.9739797;0.0020408;8.0000000;0.0000000
5.1990322;0.4958542;-5.1349841;4.9743793;0.0019560;8.0000000;0.0000000
5.3989949;0.5476824;-5.3281132;4.9747620;0.0018712;8.0000000;0.0000000
5.5989577;0.5995830;-5.5212231;4.9751277;0.0017861;8.0000000;0.0000000
5.7989205;0.6515526;-5.7143147;4.9754763;0.0017005;8.0000000;0.0000000
5.9988833;0.7035875;-5.9073877;4.9758077;0.0016149;8.0000000;0.0000000
6.1988460;0.7556852;-6.1004453;4.9761220;0.0015285;8.0000000;0.0000000
6.3988088;0.8078417;-6.2934860;4.9764190;0.0014422;8.0000000;0.0000000
6.5987716;0.8600539;-6.4865119;4.9766988;0.0013554;8.0000000;0.0000000
6.7987344;0.9123184;-6.6795239;4.9769611;0.0012682;8.0000000;0.0000000
