# x_m, y_m, w_tr_right_m, w_tr_left_m
0.0, 0.0, 1.1, 1.1
-0.43829049056202307, -0.03720008558346188, 1.1, 1.1
-0.8765844988792773, -0.07435672688993843, 1.1, 1.1
-1.3148820249517625, -0.11147115513374972, 1.1, 1.1
-1.7531828049478144, -0.14854468947310406, 1.1, 1.1
-2.191486838867446, -0.18557873701009794, 1.1, 1.1
-2.6297939508229087, -0.22257435307128853, 1.1, 1.1
-3.068103876982537, -0.2595329447587723, 1.1, 1.1
-3.506416705290233, -0.2964557432868762, 1.1, 1.1
-3.9447322598582204, -0.33334406781380155, 1.1, 1.1
-4.383050276854862, -0.3701991495538754, 1.1, 1.1
-4.821370756280169, -0.40702230766531944, 1.1, 1.1
-5.259693522246355, -0.44381486130632847, 1.1, 1.1
-5.698018486809564, -0.4805779537473546, 1.1, 1.1
-6.136345562025906, -0.5173129920904876, 1.1, 1.1
-6.574674484063739, -0.5540212075500545, 1.1, 1.1
-7.013005252923063, -0.5907039192842631, 1.1, 1.1
-7.451337604772232, -0.6273623585074407, 1.1, 1.1
-7.889671627555135, -0.663997756433914, 1.1, 1.1
-8.328006969496247, -0.7006115201657727, 1.1, 1.1
-8.766343630595566, -0.7372048809173503, 1.1, 1.1
-9.204681434965332, -0.7737789819590788, 1.1, 1.1
-9.643020294661667, -0.810335318336943, 1.1, 1.1
-10.081360033796805, -0.8468750333213813, 1.1, 1.1
-10.519700564426868, -0.8833994460706088, 1.1, 1.1
-10.958041798607976, -0.9199098757428205, 1.1, 1.1
-11.396383560452374, -0.9564075535523632, 1.1, 1.1
-11.834725674072283, -0.9928937107135504, 1.1, 1.1
-12.273068051523843, -1.0293697543284717, 1.1, 1.1
-12.711410692807034, -1.0658368276675794, 1.1, 1.1
-13.149753246146352, -1.1022962498890818, 1.1, 1.1
-13.588095711541786, -1.1387493401511803, 1.1, 1.1
-14.026438001049465, -1.17519741761209, 1.1, 1.1
-14.464779850837736, -1.2116416255422562, 1.1, 1.1
-14.903121260906602, -1.2480833710437622, 1.1, 1.1
-15.341462055368316, -1.284523885330948, 1.1, 1.1
-15.779802146278971, -1.320964399618127, 1.1, 1.1
-16.218141269806953, -1.357406233063521, 1.1, 1.1
-16.656479513896112, -1.393850704825325, 1.1, 1.1
-17.094816526770956, -1.430299046117879, 1.1, 1.1
-17.53315239637535, -1.4667525760993847, 1.1, 1.1
-17.971486858877654, -1.5032125259841622, 1.1, 1.1
-18.409819826333994, -1.5396802149304334, 1.1, 1.1
-18.848151122856606, -1.576156874152525, 1.1, 1.1
-19.286480748445477, -1.6126438228086317, 1.1, 1.1
-19.724808439268983, -1.649142292113101, 1.1, 1.1
-20.16313410738323, -1.6856536891680016, 1.1, 1.1
-20.60145784073211, -1.7221785416366298, 1.1, 1.1
-21.03977946342786, -1.758716761575097, 1.1, 1.1
-21.47809932724599, -1.7952679972078907, 1.1, 1.1
-21.916417432186517, -1.8318318967594787, 1.1, 1.1
-22.354733954137195, -1.8684081963982233, 1.1, 1.1
-22.793048893098018, -1.9049963684608424, 1.1, 1.1
-23.231362512900635, -1.941596325003455, 1.1, 1.1
-23.66967481354505, -1.9782075383627784, 1.1, 1.1
-24.10798588297512, -2.0148298326510568, 1.1, 1.1
-24.546295985022514, -2.0514627681488697, 1.1, 1.1
-24.98460503174335, -2.0881060810245926, 1.1, 1.1
-25.422913286969248, -2.1247593315588187, 1.1, 1.1
-25.861220838644105, -2.1614223438637845, 1.1, 1.1
-26.299527686767924, -2.1980946782200896, 1.1, 1.1
-26.737834095172335, -2.234775982852209, 1.1, 1.1
-27.176140063857343, -2.271465993928504, 1.1, 1.1
-27.61444576871071, -2.3081643596734494, 1.1, 1.1
-28.052751297676313, -2.3448708162554004, 1.1, 1.1
-28.491056738698042, -2.3815848360110823, 1.1, 1.1
-28.92936217971977, -2.4183063309966135, 1.1, 1.1
-29.367667884573134, -2.455034773548705, 1.1, 1.1
-29.805973765314263, -2.4917698998357194, 1.1, 1.1
-30.24427999783092, -2.528511358082131, 1.1, 1.1
-30.68258675801085, -2.5652589724001835, 1.1, 1.1
-31.12089413379795, -2.602012127182707, 1.1, 1.1
-31.559202213136086, -2.6387707344858327, 1.1, 1.1
-31.997511171913033, -2.675534354590141, 1.1, 1.1
-32.43582092218491, -2.7123027236640005, 1.1, 1.1
-32.87413181572723, -2.7490754019880104, 1.1, 1.1
-33.31244385253999, -2.78585212573052, 1.1, 1.1
-33.750757120567094, -2.8226325431160166, 1.1, 1.1
-34.189071795696265, -2.859416302368975, 1.1, 1.1
-34.62738796587142, -2.8962031396577506, 1.1, 1.1
-35.06570571903643, -2.932992703206817, 1.1, 1.1
-35.50402514313516, -2.9697845532967877, 1.1, 1.1
-35.942346414055386, -3.006578514039887, 1.1, 1.1
-36.38066961974097, -3.0433742336605945, 1.1, 1.1
-36.81899484813582, -3.0801712724395167, 1.1, 1.1
-37.25732227512769, -3.116969278601115, 1.1, 1.1
-37.69565190071657, -3.1537680762576468, 1.1, 1.1
-38.133983988734094, -3.1905673136335784, 1.1, 1.1
-38.57231853918029, -3.2273665510095104, 1.1, 1.1
-39.010655639999, -3.2641654366099235, 1.1, 1.1
-39.44899546707802, -3.3009637945470476, 1.1, 1.1
-39.88733810836123, -3.3377611851014892, 1.1, 1.1
-40.325683651792474, -3.3745572564977224, 1.1, 1.1
-40.764032273259545, -3.4113517449041035, 1.1, 1.1
-41.20238406070632, -3.4481442985451194, 1.1, 1.1
-41.64073910207669, -3.4849345656452306, 1.1, 1.1
-42.079097485314485, -3.521722282372814, 1.1, 1.1
-42.517459386307536, -3.5585070090084545, 1.1, 1.1
-42.95582480505579, -3.595288393776634, 1.1, 1.1
-43.39419400539091, -3.6320662607895957, 1.1, 1.1
-43.83256707525678, -3.6688401703279325, 1.1, 1.1
-44.27094401465339, -3.70560985856, 1.1, 1.1
-44.7093249994685, -3.742374885766398, 1.1, 1.1
-45.14771011764601, -3.7791349881154885, 1.1, 1.1
-45.58609945712977, -3.815889813831746, 1.1, 1.1
-46.02449328175145, -3.8526390990835258, 1.1, 1.1
-46.46289150356716, -3.8893824041514273, 1.1, 1.1
-46.90129429846464, -3.9261194652038136, 1.1, 1.1
-47.339701842331685, -3.9628499304651585, 1.1, 1.1
-47.77811422311215, -3.9995735361038243, 1.1, 1.1
-48.216531528749925, -4.036289842400404, 1.1, 1.1
-48.654953847188914, -4.072998497579371, 1.1, 1.1
-49.09338135431683, -4.1096993257529695, 1.1, 1.1
-49.5318140501337, -4.146391799257919, 1.1, 1.1
-49.97025219847118, -4.183075742206454, 1.1, 1.1
-50.40869579932924, -4.219750275159769, 1.1, 1.1
-50.84714406121297, -4.255945777795752, 1.1, 1.1
-51.28559355431104, -4.289856322527371, 1.1, 1.1
-51.7240403211488, -4.31943985244833, 1.1, 1.1
-52.16248049219552, -4.342653870932938, 1.1, 1.1
-52.60091019792046, -4.357456233131025, 1.1, 1.1
-53.03932548084899, -4.361804530360773, 1.1, 1.1
-53.477722383506475, -4.353656617772008, 1.1, 1.1
-53.916097036362196, -4.330970174626801, 1.1, 1.1
-54.35428735884428, -4.29140615753424, 1.1, 1.1
-54.781578268546944, -4.212837798204926, 1.1, 1.1
-55.17025900048547, -4.041268345478142, 1.1, 1.1
-55.4995622228759, -3.743895435461053, 1.1, 1.1
-55.78507941835651, -3.396331369826144, 1.1, 1.1
-56.01288608054481, -3.0218572682388944, 1.1, 1.1
-56.180416798501355, -2.6200852102422076, 1.1, 1.1
-56.296640704771484, -2.1985191833314874, 1.1, 1.1
-56.370529658160805, -1.7646653735991555, 1.1, 1.1
-56.410635585445284, -1.3259215323329019, 1.1, 1.1
-56.41732099130055, -0.8875770442282136, 1.1, 1.1
-56.38350357913845, -0.4530039414968856, 1.1, 1.1
-56.30182983344314, -0.025504516853449722, 1.1, 1.1
-56.16495204299499, 0.39161225325265286, 1.1, 1.1
-55.9683788258706, 0.7915695013303816, 1.1, 1.1
-55.71514134380076, 1.1584596744348157, 1.1, 1.1
-55.40949396995079, 1.4748897595347212, 1.1, 1.1
-55.055691253373794, 1.7234667435988769, 1.1, 1.1
-54.65893305189483, 1.888632826495295, 1.1, 1.1
-54.23275709470973, 1.9710173346331699, 1.1, 1.1
-53.79492312083162, 1.9797940459678416, 1.1, 1.1
-53.357355001304406, 1.9300121811700957, 1.1, 1.1
-52.92349952063834, 1.8449011489036324, 1.1, 1.1
-52.49487028096151, 1.7400957881397963, 1.1, 1.1
-52.071156224768444, 1.6194623756990556, 1.1, 1.1
-51.6519062878958, 1.4859638288609136, 1.1, 1.1
-51.23663581161788, 1.3426694770003234, 1.1, 1.1
-50.82324777410309, 1.1977228355120184, 1.1, 1.1
-50.40735773318672, 1.0664676491227387, 1.1, 1.1
-49.98440720576456, 0.9647953770472609, 1.1, 1.1
-49.54983779667622, 0.90859756644423, 1.1, 1.1
-49.10306696565695, 0.9121491800601081, 1.1, 1.1
-48.660834038873894, 0.9826824587993996, 1.1, 1.1
-48.24459406925684, 1.1255125549145872, 1.1, 1.1
-47.875802021791706, 1.3459544447703777, 1.1, 1.1
-47.57530807139789, 1.6483290750496853, 1.1, 1.1
-47.354199478983666, 2.020917571894136, 1.1, 1.1
-47.21566825563737, 2.439029163176984, 1.1, 1.1
-47.162679781067126, 2.8776010741567664, 1.1, 1.1
-47.198168918454556, 3.3116079941851275, 1.1, 1.1
-47.31827000658635, 3.7242741003845365, 1.1, 1.1
-47.503803276610206, 4.117401626699005, 1.1, 1.1
-47.73349422438308, 4.495333857557114, 1.1, 1.1
-47.98609648780374, 4.86241020785666, 1.1, 1.1
-48.24585140291702, 5.222283778451684, 1.1, 1.1
-48.509067173561434, 5.577097937598849, 1.1, 1.1
-48.77365759500269, 5.92879518973169, 1.1, 1.1
-49.03753602278703, 6.279318127227582, 1.1, 1.1
-49.298616252180146, 6.630609254520059, 1.1, 1.1
-49.55481181461606, 6.9846110760426106, 1.1, 1.1
-49.80403624152878, 7.343266184172657, 1.1, 1.1
-50.04420324024015, 7.708517083343704, 1.1, 1.1
-50.273243227409225, 8.082274618192255, 1.1, 1.1
-50.48970125947626, 8.465290533009247, 1.1, 1.1
-50.692899640897764, 8.85685195469894, 1.1, 1.1
-50.88221010059109, 9.256152086101231, 1.1, 1.1
-51.05700463130528, 9.66238421799984, 1.1, 1.1
-51.216655049901576, 10.074741465290746, 1.1, 1.1
-51.36053317324124, 10.492417118757736, 1.1, 1.1
-51.48801099407328, 10.914604381240638, 1.1, 1.1
-51.598460417202844, 11.340496543523196, 1.1, 1.1
-51.691536262898765, 11.769367101208246, 1.1, 1.1
-51.76797418172184, 12.200796034322261, 1.1, 1.1
-51.82876758774671, 12.634436228368758, 1.1, 1.1
