# 0a052374-d89f-4694-9119-e2af98a0b359
# 603fd3987364b09f9aacb70d1ed12c268e24dd56
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000;0.0512852;0.4474380;3.2568134;0.0004993;8.0000000;0.0000000
0.1999725;-0.1473602;0.4244381;3.2569124;0.0004912;8.0000000;0.0000000
0.3999449;-0.3460033;0.4014187;3.2570099;0.0004831;8.0000000;0.0000000
0.5999174;-0.5446442;0.3783801;3.2571057;0.0004750;8.0000000;0.0000000
0.7998899;-0.7432830;0.3553226;3.2571998;0.0004668;8.0000000;0.0000000
0.9998623;-0.9419195;0.3322466;3.2572923;0.0004586;8.0000000;0.0000000
1.1998348;-1.1405540;0.3091524;3.2573832;0.0004503;8.0000000;0.0000000
1.3998073;-1.3391863;0.2860403;3.2574725;0.0004421;8.0000000;0.0000000
1.5997797;-1.5378167;0.2629106;3.2575600;0.0004338;8.0000000;0.0000000
1.7997522;-1.7364450;0.2397637;3.2576460;0.0004255;8.0000000;0.0000000
1.9997247;-1.9350713;0.2165999;3.2577302;0.0004172;8.0000000;0.0000000
2.1996971;-2.1336957;0.1934195;3.2578128;0.0004089;8.0000000;0.0000000
2.3996696;-2.3323182;0.1702229;3.2578938;0.0004005;8.0000000;0.0000000
2.5996421;-2.5309389;0.1470104;3.2579730;0.0003922;8.0000000;0.0000000
2.7996145;-2.7295578;0.1237823;3.2580506;0.0003838;8.0000000;0.0000000
2.9995870;-2.9281748;0.1005389;3.2581265;0.0003754;8.0000000;0.0000000
3.1995595;-3.1267901;0.0772807;3.2582007;0.0003670;8.0000000;0.0000000
3.3995319;-3.3254037;0.0540078;3.2582733;0.0003585;8.0000000;0.0000000
3.5995044;-3.5240156;0.0307207;3.2583441;0.0003501;8.0000000;0.0000000
3.7994769;-3.7226259;0.0074198;3.2584133;0.0003416;8.0000000;0.0000000
3.9994493;-3.9212346;-0.0158948;3.2584807;0.0003331;8.0000000;0.0000000
4.1994218;-4.1198418;-0.0392225;3.2585465;0.0003246;8.0000000;0.0000000
4.3993943;-4.3184474;-0.0625632;3.2586105;0.0003160;8.0000000;0.0000000
4.5993667;-4.5170516;-0.0859164;3.2586729;0.0003075;8.0000000;0.0000000
4.7993392;-4.7156544;-0.1092818;3.2587335;0.0002989;8.0000000;0.0000000
4.9993117;-4.9142557;-0.1326591;3.2587924;0.0002904;8.0000000;0.0000000
5.1992841;-5.1128557;-0.1560480;3.2588497;0.0002818;8.0000000;0.0000000
5.3992566;-5.3114543;-0.1794480;3.2589051;0.0002732;8.0000000;0.0000000
5.5992291;-5.5100517;-0.2028589;3.2589589;0.0002645;8.0000000;0.0000000
5.7992015;-5.7086478;-0.2262802;3.2590109;0.0002559;8.0000000;0.0000000
5.9991740;-5.9072427;-0.2497118;3.2590612;0.0002472;8.0000000;0.0000000
6.1991465;-6.1058366;-0.2731531;3.2591098;0.0002386;8.0000000;0.0000000
6.3991189;-6.3044292;-0.2966039;3.2591567;0.0002299;8.0000000;0.0000000
6.5990914;-6.5030208;-0.3200639;3.2592017;0.0002212;8.0000000;0.0000000
6.7990639;-6.7016114;-0.3435326;3.2592451;0.0002124;8.0000000;0.0000000
6.9990364;-6.9002009;-0.3670098;3.2592867;0.0002037;8.0000000;0.0000000
7.1990088;-7.0987895;-0.3904951;3.2593266;0.0001950;8.0000000;0.0000000
7.3989813;-7.2973772;-0.4139881;3.2593647;0.0001862;8.0000000;0.0000000
7.5989538;-7.4959640;-0.4374885;3.2594011;0.0001774;8.0000000;0.0000000
7.7989262;-7.6945499;-0.4609959;3.2594357;0.0001686;8.0000000;0.0000000
7.9988987;-7.8931351;-0.4845101;3.2594685;0.0001598;8.0000000;0.0000000
8.1988712;-8.0917195;-0.5080306;3.2594996;0.0001510;8.0000000;0.0000000
8.3988436;-8.2903033;-0.5315571;3.2595289;0.0001422;8.0000000;0.0000000
8.5988161;-8.4888863;-0.5550892;3.2595564;0.0001333;8.0000000;0.0000000
8.7987886;-8.6874687;-0.5786266;3.2595822;0.0001245;8.0000000;0.0000000
8.9987610;-8.8860505;-0.6021690;3.2596062;0.0001156;8.0000000;0.0000000
9.1987335;-9.0846318;-0.6257160;3.2596284;0.0001067;8.0000000;0.0000000
9.3987060;-9.2832126;-0.6492672;3.2596489;0.0000978;8.0000000;0.0000000
9.5986784;-9.4817929;-0.6728223;3.2596675;0.0000889;8.0000000;0.0000000
9.7986509;-9.6803729;-0.6963809;3.2596844;0.0000799;8.0000000;0.0000000
9.9986234;-9.8789524;-0.7199427;3.2596995;0.0000710;8.0000000;0.0000000
10.1985958;-10.0775316;-0.7435073;3.2597128;0.0000620;8.0000000;0.0000000
10.3985683;-10.2761105;-0.7670743;3.2597243;0.0000531;8.0000000;0.0000000
10.5985408;-10.4746891;-0.7906435;3.2597340;0.0000441;8.0000000;0.0000000
10.7985132;-10.6732676;-0.8142144;3.2597419;0.0000351;8.0000000;0.0000000
10.9984857;-10.8718459;-0.8377868;3.2597481;0.0000261;8.0000000;0.0000000
11.1984582;-11.0704240;-0.8613601;3.2597524;0.0000170;8.0000000;0.0000000
11.3984306;-11.2690021;-0.8849341;3.2597549;0.0000080;8.0000000;0.0000000
11.5984031;-11.4675801;-0.9085085;3.2597556;-0.0000011;8.0000000;0.0000000
11.7983756;-11.6661582;-0.9320828;3.2597544;-0.0000101;8.0000000;0.0000000
11.9983480;-11.8647363;-0.9556567;3.2597515;-0.0000192;8.0000000;0.0000000
12.1983205;-12.0633145;-0.9792298;3.2597468;-0.0000283;8.0000000;0.0000000
12.3982930;-12.2618928;-1.0028018;3.2597402;-0.0000374;8.0000000;0.0000000
12.5982654;-12.4604713;-1.0263724;3.2597318;-0.0000465;8.0000000;0.0000000
12.7982379;-12.6590500;-1.0499411;3.2597216;-0.0000557;8.0000000;0.0000000
12.9982104;-12.8576289;-1.0735075;3.2597095;-0.0000648;8.0000000;0.0000000
13.1981828;-13.0562082;-1.0970714;3.2596957;-0.0000740;8.0000000;0.0000000
13.3981553;-13.2547879;-1.1206324;3.2596799;-0.0000831;8.0000000;0.0000000
13.5981278;-13.4533679;-1.1441900;3.2596624;-0.0000923;8.0000000;0.0000000
13.7981002;-13.6519483;-1.1677440;3.2596430;-0.0001015;8.0000000;0.0000000
13.9980727;-13.8505293;-1.1912940;3.2596218;-0.0001107;8.0000000;0.0000000
14.1980452;-14.0491107;-1.2148395;3.2595987;-0.0001200;8.0000000;0.0000000
14.3980176;-14.2476927;-1.2383803;3.2595738;-0.0001292;8.0000000;0.0000000
14.5979901;-14.4462754;-1.2619160;3.2595471;-0.0001385;8.0000000;0.0000000
14.7979626;-14.6448586;-1.2854462;3.2595184;-0.0001477;8.0000000;0.0000000
14.9979350;-14.8434426;-1.3089705;3.2594880;-0.0001570;8.0000000;0.0000000
15.1979075;-15.0420273;-1.3324885;3.2594556;-0.0001663;8.0000000;0.0000000
15.3978800;-15.2406128;-1.3560000;3.2594215;-0.0001756;8.0000000;0.0000000
15.5978524;-15.4391991;-1.3795045;3.2593854;-0.0001849;8.0000000;0.0000000
15.7978249;-15.6377863;-1.4030016;3.2593475;-0.0001943;8.0000000;0.0000000
15.9977974;-15.8363744;-1.4264911;3.2593077;-0.0002036;8.0000000;0.0000000
16.1977698;-16.0349635;-1.4499724;3.2592661;-0.0002130;8.0000000;0.0000000
16.3977423;-16.2335535;-1.4734453;3.2592226;-0.0002223;8.0000000;0.0000000
16.5977148;-16.4321446;-1.4969094;3.2591772;-0.0002317;8.0000000;0.0000000
16.7976872;-16.6307368;-1.5203642;3.2591299;-0.0002411;8.0000000;0.0000000
16.9976597;-16.8293302;-1.5438095;3.2590807;-0.0002505;8.0000000;0.0000000
17.1976322;-17.0279246;-1.5672449;3.2590297;-0.0002599;8.0000000;0.0000000
17.3976046;-17.2265204;-1.5906699;3.2589768;-0.0002694;8.0000000;0.0000000
17.5975771;-17.4251173;-1.6140842;3.2589220;-0.0002788;8.0000000;0.0000000
17.7975496;-17.6237156;-1.6374874;3.2588652;-0.0002883;8.0000000;0.0000000
17.9975220;-17.8223152;-1.6608792;3.2588066;-0.0002978;8.0000000;0.0000000
18.1974945;-18.0209162;-1.6842592;3.2587461;-0.0003073;8.0000000;0.0000000
18.3974670;-18.2195187;-1.7076269;3.2586838;-0.0003168;8.0000000;0.0000000
18.5974394;-18.4181226;-1.7309821;3.2586195;-0.0003263;8.0000000;0.0000000
18.7974119;-18.6167281;-1.7543243;3.2585532;-0.0003358;8.0000000;0.0000000
18.9973844;-18.8153351;-1.7776532;3.2584851;-0.0003454;8.0000000;0.0000000
19.1973568;-19.0139437;-1.8009684;3.2584151;-0.0003550;8.0000000;0.0000000
19.3973293;-19.2125540;-1.8242695;3.2583432;-0.0003645;8.0000000;0.0000000
19.5973018;-19.4111660;-1.8475560;3.2582693;-0.0003741;8.0000000;0.0000000
19.7972742;-19.6097798;-1.8708278;3.2581936;-0.0003837;8.0000000;0.0000000
19.9972467;-19.8083953;-1.8940843;3.2581159;-0.0003933;8.0000000;0.0000000
20.1972192;-20.0070126;-1.9173251;3.2580362;-0.0004030;8.0000000;0.0000000
20.3971916;-20.2056318;-1.9405500;3.2579547;-0.0004126;8.0000000;0.0000000
20.5971641;-20.4042530;-1.9637585;3.2578712;-0.0004223;8.0000000;0.0000000
