# x_m, y_m, w_tr_right_m, w_tr_left_m
0.0, 0.0, 1.1, 1.1
-0.44708959788569586, -0.09416882273686002, 1.1, 1.1
-0.8941657621818855, -0.18841294668292297, 1.1, 1.1
-1.3412179836178797, -0.2827768763149878, 1.1, 1.1
-1.78823584430791, -0.37730502472487326, 1.1, 1.1
-2.235208926366268, -0.47204189638938576, 1.1, 1.1
-2.6821266291372834, -0.5670319044003588, 1.1, 1.1
-3.128978717505134, -0.6623196446195493, 1.1, 1.1
-3.5757545908141504, -0.7579494387538328, 1.1, 1.1
-4.022446298572599, -0.853954916469443, 1.1, 1.1
-4.469056308174471, -0.9503252029558367, 1.1, 1.1
-4.915589463022765, -1.0470381830520585, 1.1, 1.1
-5.362050880675409, -1.144071467442265, 1.1, 1.1
-5.808445313150452, -1.2414029409655007, 1.1, 1.1
-6.254777969390772, -1.3390104884608107, 1.1, 1.1
-6.701053601414403, -1.4368717206123587, 1.1, 1.1
-7.147277235394305, -1.5349646136441546, 1.1, 1.1
-7.593453897503426, -1.6332669610102706, 1.1, 1.1
-8.039588522529746, -1.7317564647798358, 1.1, 1.1
-8.485685953876263, -1.8304109184069295, 1.1, 1.1
-8.931751309100923, -1.929208206730597, 1.1, 1.1
-9.377789522991668, -2.0281261232049244, 1.1, 1.1
-9.823805530336497, -2.127142369899034, 1.1, 1.1
-10.269804265923396, -2.2262348316519707, 1.1, 1.1
-10.7157907559253, -2.3253813019178136, 1.1, 1.1
-11.161769935130197, -2.424559574150649, 1.1, 1.1
-11.607746738326064, -2.523747441804558, 1.1, 1.1
-12.053726100300885, -2.622922698333634, 1.1, 1.1
-12.499713138612567, -2.7220631371919413, 1.1, 1.1
-12.945712605279166, -2.8211466432185404, 1.1, 1.1
-13.391729617858584, -2.9201509184825447, 1.1, 1.1
-13.837769111138806, -3.0190537564380415, 1.1, 1.1
-14.283835928522858, -3.1178329505391145, 1.1, 1.1
-14.729935187568632, -3.216466477009769, 1.1, 1.1
-15.176071823064131, -3.314931855149201, 1.1, 1.1
-15.622250769797311, -3.413207152566381, 1.1, 1.1
-16.06847696255617, -3.5112699799454696, 1.1, 1.1
-16.514755427513652, -3.609098222125512, 1.1, 1.1
-16.961091008072767, -3.7066696725605905, 1.1, 1.1
-17.407488821791432, -3.803962033319824, 1.1, 1.1
-17.853953712072656, -3.9009532806272254, 1.1, 1.1
-18.300490705089384, -3.997621116551913, 1.1, 1.1
-18.747104735629602, -4.0939433345479666, 1.1, 1.1
-19.193797996932418, -4.189910339194316, 1.1, 1.1
-19.640561259116595, -4.285562979569252, 1.1, 1.1
-20.08738264213701, -4.3809550814157525, 1.1, 1.1
-20.53424999179361, -4.476140379091847, 1.1, 1.1
-20.98115133665631, -4.57117251557059, 1.1, 1.1
-21.428074613910034, -4.666105316594962, 1.1, 1.1
-21.87500794350965, -4.7609924251380225, 1.1, 1.1
-22.32193917125514, -4.855887575557797, 1.1, 1.1
-22.768856325716364, -4.950844593597264, 1.1, 1.1
-23.21574752684821, -5.04591712222948, 1.1, 1.1
-23.662600529065685, -5.141158895812475, 1.1, 1.1
-24.109403452323647, -5.236623740089226, 1.1, 1.1
-24.55614423380702, -5.332365206647824, 1.1, 1.1
-25.002810993470668, -5.428437212616224, 1.1, 1.1
-25.449391485729606, -5.524893309582521, 1.1, 1.1
-25.895873830538694, -5.621787323289691, 1.1, 1.1
-26.342246056467825, -5.719173079480726, 1.1, 1.1
-26.78850313734405, -5.817071596697021, 1.1, 1.1
-27.23469305027275, -5.91526309410348, 1.1, 1.1
-27.680887166909724, -6.013419042759481, 1.1, 1.1
-28.127157224450645, -6.111210365414623, 1.1, 1.1
-28.573574868706192, -6.20830816758844, 1.1, 1.1
-29.020211745487067, -6.304383280645568, 1.1, 1.1
-29.46713959198893, -6.399106901490504, 1.1, 1.1
-29.91442996263751, -6.492149770102917, 1.1, 1.1
-30.36215258415928, -6.583192130498609, 1.1, 1.1
-30.810298592212874, -6.672267886498706, 1.1, 1.1
-31.258756954068698, -6.759871704905871, 1.1, 1.1
-31.70740969174002, -6.8465289578702135, 1.1, 1.1
-32.156139010010016, -6.932765108926802, 1.1, 1.1
-32.60482702227691, -7.019105804380628, 1.1, 1.1
-33.053355750553955, -7.106076416381795, 1.1, 1.1
-33.50160739962434, -7.194202408465374, 1.1, 1.1
-33.94946399150131, -7.284009244166436, 1.1, 1.1
-34.39683998985986, -7.375890884058835, 1.1, 1.1
-34.84377935086701, -7.46971454579188, 1.1, 1.1
-35.29035828958159, -7.565215852668713, 1.1, 1.1
-35.736652929677454, -7.662130336607514, 1.1, 1.1
-36.18273948621343, -7.760193620911415, 1.1, 1.1
-36.628694265633314, -7.859141420268522, 1.1, 1.1
-37.07459339161095, -7.958709357981973, 1.1, 1.1
-37.520513170590135, -8.058632965969942, 1.1, 1.1
-37.966529634859775, -8.158648050305494, 1.1, 1.1
-38.41268445596284, -8.258537845857292, 1.1, 1.1
-38.85894299899846, -8.358190223276202, 1.1, 1.1
-39.30526030256505, -8.457507674807108, 1.1, 1.1
-39.751591313876034, -8.556392235770083, 1.1, 1.1
-40.1978910715298, -8.65474648979497, 1.1, 1.1
-40.644114614124746, -8.752472472201838, 1.1, 1.1
-41.090216980259264, -8.849472583850613, 1.1, 1.1
-41.53615311714675, -8.945649134216248, 1.1, 1.1
-41.981896888687935, -9.041041967142453, 1.1, 1.1
-42.42756042423195, -9.136703380473802, 1.1, 1.1
-42.87331781213256, -9.23413720515517, 1.1, 1.1
-43.319343232128546, -9.334849739525442, 1.1, 1.1
-43.765812326118045, -9.440232045485622, 1.1, 1.1
-44.212955110052, -9.547250416431606, 1.1, 1.1
-44.661071692147615, -9.647151086793954, 1.1, 1.1
-45.11046674987031, -9.730800769253495, 1.1, 1.1
-45.561445052070404, -9.789066359260957, 1.1, 1.1
-46.014145869430926, -9.815161609492145, 1.1, 1.1
-46.468053059683, -9.811597687334904, 1.1, 1.1
