# x_m, y_m, w_tr_right_m, w_tr_left_m
0.0, 0.0, 1.1, 1.1
0.22803102910629938, 0.3151271159628834, 1.1, 1.1
0.45604152209483667, 0.6302573434587614, 1.1, 1.1
0.684032956943787, 0.9453908380642783, 1.1, 1.1
0.9120069672079697, 1.2605279109327494, 1.1, 1.1
1.1399650308655511, 1.5756686398524795, 1.1, 1.1
1.367908625894724, 1.890813335976775, 1.1, 1.1
1.5958393080619677, 2.2059620770939667, 1.1, 1.1
1.8237586331337796, 2.5211151743573526, 1.1, 1.1
2.051668001300013, 2.836272783343577, 1.1, 1.1
2.279569046115495, 3.1514351374176153, 1.1, 1.1
2.5074632455583843, 3.466602314367799, 1.1, 1.1
2.7353521553951774, 3.781774625347416, 1.1, 1.1
2.9632372536040674, 4.0969523037214515, 1.1, 1.1
3.1911198625865493, 4.412135349489906, 1.1, 1.1
3.419000449072592, 4.727323529287793, 1.1, 1.1
3.6468793242154924, 5.042516376385173, 1.1, 1.1
3.8747566435918874, 5.357713579628746, 1.1, 1.1
4.102632873931736, 5.672914750076876, 1.1, 1.1
4.330508093023361, 5.988119420999638, 1.1, 1.1
4.558382689808389, 6.303327281243709, 1.1, 1.1
4.786256897651789, 6.618537864079153, 1.1, 1.1
5.014130949918545, 6.933750858352674, 1.1, 1.1
5.242005235550277, 7.248965875122636, 1.1, 1.1
5.469879832335305, 7.5641824476590935, 1.1, 1.1
5.697755207003583, 7.8794002648087424, 1.1, 1.1
5.925631592920085, 8.194618859841649, 1.1, 1.1
6.153509145661455, 8.509837921604506, 1.1, 1.1
6.381388254169322, 8.825056983367364, 1.1, 1.1
6.609269151808663, 9.140275733976907, 1.1, 1.1
6.837152071944451, 9.455493706703217, 1.1, 1.1
7.065037325729985, 9.770710512604651, 1.1, 1.1
7.292925224318563, 10.08592584052791, 1.1, 1.1
7.52081600107516, 10.401139301531373, 1.1, 1.1
7.7487098893647435, 10.716350351096768, 1.1, 1.1
7.976607122552305, 11.031558755859121, 1.1, 1.1
8.204508167367779, 11.346764126876801, 1.1, 1.1
8.432413101599495, 11.661965919631534, 1.1, 1.1
8.660322236400761, 11.97716397854668, 1.1, 1.1
8.888235960713189, 12.292357681315629, 1.1, 1.1
9.116154352325108, 12.607546716785096, 1.1, 1.1
9.34407787796646, 12.922730773801765, 1.1, 1.1
9.57200669321391, 13.237909385635703, 1.1, 1.1
9.799941109220743, 13.553082241133593, 1.1, 1.1
10.027881359351937, 13.868248795777173, 1.1, 1.1
10.255827676972475, 14.183408816201474, 1.1, 1.1
10.483780451023978, 14.49856183567653, 1.1, 1.1
10.711739914871412, 14.813707465260727, 1.1, 1.1
10.939706379668085, 15.128845316012438, 1.1, 1.1
11.167680000990647, 15.443974998990042, 1.1, 1.1
11.395661012204068, 15.759096203040244, 1.1, 1.1
11.623644045913927, 16.07421297315592, 1.1, 1.1
11.851611210805526, 16.389339000082256, 1.1, 1.1
12.079543215374292, 16.704489219177624, 1.1, 1.1
12.307420612539008, 17.019678410223726, 1.1, 1.1
