# 7e5d9908-7c27-415f-b2e7-e3f267bb6f4f
# 603fd3987364b09f9aacb70d1ed12c268e24dd56
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000;-0.7032863;0.3184400;0.9936254;-0.0238045;7.6431754;1.3763285
0.1999136;-0.5938081;0.4857174;0.9889825;-0.0226428;7.6790900;1.4004799
0.3998272;-0.4835772;0.6524924;0.9845720;-0.0214813;7.7154633;1.4252289
0.5997408;-0.3726303;0.8187938;0.9803937;-0.0203202;7.7523041;1.4505827
0.7996544;-0.2610079;0.9846444;0.9764475;-0.0191591;7.7896214;1.4765771
0.9995680;-0.1487544;1.1500614;0.9727334;-0.0179981;7.8274247;1.5032296
1.1994816;-0.0359015;1.3150806;0.9692515;-0.0168355;7.8657237;1.5306700
1.3993952;0.0775030;1.4797143;0.9660021;-0.0156729;7.9045311;1.5588200
1.5993087;0.1914234;1.6439931;0.9629851;-0.0145094;7.9438574;1.5877543
1.7992223;0.3058207;1.8079418;0.9602009;-0.0133448;7.9837146;0.6510358
1.9991359;0.4206519;1.9715805;0.9576495;-0.0121802;8.0000000;0.0000000
2.1990495;0.5358858;2.1349455;0.9553318;-0.0110064;8.0000000;0.0000000
2.3989631;0.6514758;2.2980524;0.9532488;-0.0098326;8.0000000;0.0000000
2.5988767;0.7673869;2.4609328;0.9514007;-0.0086558;8.0000000;0.0000000
2.7987903;0.8835805;2.6236134;0.9497882;-0.0074761;8.0000000;0.0000000
2.9987039;1.0000142;2.7861161;0.9484115;-0.0062963;8.0000000;0.0000000
3.1986175;1.1166569;2.9484782;0.9472680;-0.0051435;8.0000000;0.0000000
3.3985311;1.2334636;3.1107162;0.9463550;-0.0039905;8.0000000;0.0000000
3.5984447;1.3504005;3.2728618;0.9456669;-0.0029481;8.0000000;0.0000000
3.7983583;1.4674338;3.4349394;0.9451709;-0.0020144;8.0000000;0.0000000
3.9982719;1.5845294;3.5969657;0.9448615;-0.0010834;8.0000000;0.0000000
4.1981855;1.7016666;3.7589700;0.9446877;-0.0006560;8.0000000;0.0000000
4.3980990;1.8188228;3.9209559;0.9445993;-0.0002284;8.0000000;0.0000000
4.5980126;1.9359868;4.0829363;0.9445868;0.0000108;8.0000000;0.0000000
