# x_m, y_m, w_tr_right_m, w_tr_left_m
0.0, 0.0, 1.1, 1.1
-0.21301383700258733, -0.3350884644846254, 1.1, 1.1
-0.4260790476035923, -0.6701589045382781, 1.1, 1.1
-0.6391917410668371, -1.0052124317998439, 1.1, 1.1
-0.8523479472533527, -1.3402503961166214, 1.1, 1.1
-1.0655436960241313, -1.6752738297247052, 1.1, 1.1
-1.278775176045767, -2.010284082471374, 1.1, 1.1
-1.4920383377764805, -2.3452821865927427, 1.1, 1.1
-1.7053293698828462, -2.6802694919360897, 1.1, 1.1
-1.9186443022258954, -3.015247110140301, 1.1, 1.1
-2.131979164666659, -3.3502162322471114, 1.1, 1.1
-2.3453301458716727, -3.6851781287009517, 1.1, 1.1
-2.558693196299196, -4.020133911140765, 1.1, 1.1
-2.7720644252130318, -4.355084770608248, 1.1, 1.1
-2.9854399418769826, -4.690032056950642, 1.1, 1.1
-3.198815855554813, -5.024976723001288, 1.1, 1.1
-3.412188196107573, -5.359920198010257, 1.1, 1.1
-3.6255551372712933, -5.6948629583942, 1.1, 1.1
-3.8389166790460125, -6.029805321764263, 1.1, 1.1
-4.052272742028939, -6.364747526328744, 1.1, 1.1
-4.265623485025618, -6.699689651490472, 1.1, 1.1
-4.478968908036068, -7.034632014860516, 1.1, 1.1
-4.6923090904630405, -7.3695746958416875, 1.1, 1.1
-4.905643952903803, -7.704518012045092, 1.1, 1.1
-5.118973654163863, -8.039462042873524, 1.1, 1.1
-5.332298194243256, -8.374407026535296, 1.1, 1.1
-5.545617652544756, -8.709353280641556, 1.1, 1.1
-5.7589320290683625, -9.044300805192286, 1.1, 1.1
-5.972241323814056, -9.37924991779861, 1.1, 1.1
-6.185545695587419, -9.714200777266074, 1.1, 1.1
-6.398845144388432, -10.04915354240026, 1.1, 1.1
-6.612139590814343, -10.384108530812275, 1.1, 1.1
-6.82542927307345, -10.719065821904913, 1.1, 1.1
-7.038714111763016, -11.054025733289278, 1.1, 1.1
-7.251994106883025, -11.388988264965352, 1.1, 1.1
-7.465269496641792, -11.723953813947073, 1.1, 1.1
-7.678540122233811, -12.058922459637195, 1.1, 1.1
-7.891806063061797, -12.39389444024405, 1.1, 1.1
-8.10506739852858, -12.728869993975994, 1.1, 1.1
-8.31832420803693, -13.06384920023582, 1.1, 1.1
-8.531576491586831, -13.398832376634616, 1.1, 1.1
-8.744824328581073, -13.733819681977963, 1.1, 1.1
-8.958067639616864, -14.068811195668633, 1.1, 1.1
-9.171306583499787, -14.403807314720508, 1.1, 1.1
-9.384541239632593, -14.738808118536376, 1.1, 1.1
-9.597771528612533, -15.073813845324613, 1.1, 1.1
-9.810997529842357, -15.408824653890726, 1.1, 1.1
-10.024219322724877, -15.743840703040314, 1.1, 1.1
-10.237436907260053, -16.07886231038447, 1.1, 1.1
-10.450650362850697, -16.413889634728747, 1.1, 1.1
-10.663859689496807, -16.748922755475967, 1.1, 1.1
-10.87706496660114, -17.083962069639984, 1.1, 1.1
-11.0902662735665, -17.419007577220803, 1.1, 1.1
-11.303464325017881, -17.754058722398995, 1.1, 1.1
-11.51666237646928, -18.08911272607727, 1.1, 1.1
-11.729863921642979, -18.4241660151305, 1.1, 1.1
-11.943072454261292, -18.759215492850323, 1.1, 1.1
-12.156291547449293, -19.094257744917197, 1.1, 1.1
-12.369524615526505, -19.429289357011577, 1.1, 1.1
-12.582775311020809, -19.764307232425093, 1.1, 1.1
-12.796047048251735, -20.099307798032626, 1.1, 1.1
-13.00934347974712, -20.434287877723023, 1.1, 1.1
-13.222667940423742, -20.769244136579527, 1.1, 1.1
-13.436024162212213, -21.104173239685366, 1.1, 1.1
-13.649415559432079, -21.439071931526595, 1.1, 1.1
-13.862845625805656, -21.773936718380916, 1.1, 1.1
-14.076317934457999, -22.108764424137142, 1.1, 1.1
-14.289836058514213, -22.443551634475742, 1.1, 1.1
-14.503403412293807, -22.778295093882736, 1.1, 1.1
-14.71702356892189, -23.11299146744137, 1.1, 1.1
-14.93070010152353, -23.447637499637736, 1.1, 1.1
-15.144430310404228, -23.78223477852736, 1.1, 1.1
-15.358153611243084, -24.116833248458697, 1.1, 1.1
-15.571776864579585, -24.451509850725216, 1.1, 1.1
-15.785206613342018, -24.786341447217637, 1.1, 1.1
