# 0610199e-c038-4fd9-bce9-1b11df46d9c4
# 603fd3987364b09f9aacb70d1ed12c268e24dd56
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000;0.8007017;-0.2753365;4.1421595;-0.0015022;6.9508467;3.2846580
0.1999364;0.6927487;-0.4436294;4.1419551;-0.0005427;7.0446941;3.2516431
0.3998728;0.5847811;-0.6119049;4.1419425;0.0004170;7.1363828;3.1800776
0.5998092;0.4768268;-0.7801889;4.1420974;0.0008890;7.2249281;3.0799127
0.7997456;0.3689005;-0.9484936;4.1422737;0.0008740;7.3096620;3.0074937
0.9996820;0.2610036;-1.1168173;4.1424469;0.0008591;7.3914663;2.9373008
1.1996184;0.1531357;-1.2851594;4.1426172;0.0008438;7.4704967;2.8692494
1.3995548;0.0452961;-1.4535197;4.1427843;0.0008286;7.5468971;2.8032289
1.5994912;-0.0625155;-1.6218978;4.1429485;0.0008132;7.6207999;2.7391583
1.7994276;-0.1702998;-1.7902935;4.1431095;0.0007977;7.6923277;2.6769561
1.9993640;-0.2780573;-1.9587065;4.1432675;0.0007822;7.7615944;2.6165388
2.1993004;-0.3857883;-2.1271361;4.1434223;0.0007665;7.8287055;2.5578492
2.3992368;-0.4934936;-2.2955824;4.1435739;0.0007507;7.8937598;2.5008055
2.5991732;-0.6011736;-2.4640448;4.1437225;0.0007349;7.9568491;1.7219271
2.7991096;-0.7088288;-2.6325230;4.1438678;0.0007190;8.0000000;0.0000000
2.9990460;-0.8164599;-2.8010168;4.1440100;0.0007030;8.0000000;0.0000000
3.1989824;-0.9240672;-2.9695255;4.1441489;0.0006869;8.0000000;0.0000000
3.3989188;-1.0316514;-3.1380492;4.1442846;0.0006707;8.0000000;0.0000000
3.5988552;-1.1392130;-3.3065872;4.1444171;0.0006545;8.0000000;0.0000000
3.7987916;-1.2467525;-3.4751393;4.1445463;0.0006381;8.0000000;0.0000000
3.9987280;-1.3542706;-3.6437051;4.1446722;0.0006218;8.0000000;0.0000000
4.1986644;-1.4617677;-3.8122843;4.1447949;0.0006052;8.0000000;0.0000000
4.3986008;-1.5692443;-3.9808765;4.1449143;0.0005887;8.0000000;0.0000000
4.5985372;-1.6767012;-4.1494813;4.1450303;0.0005720;8.0000000;0.0000000
4.7984735;-1.7841387;-4.3180984;4.1451430;0.0005553;8.0000000;0.0000000
4.9984099;-1.8915576;-4.4867275;4.1452523;0.0005385;8.0000000;0.0000000
5.1983463;-1.9989583;-4.6553681;4.1453583;0.0005216;8.0000000;0.0000000
5.3982827;-2.1063414;-4.8240199;4.1454609;0.0005046;8.0000000;0.0000000
5.5982191;-2.2137074;-4.9926826;4.1455601;0.0004875;8.0000000;0.0000000
5.7981555;-2.3210571;-5.1613557;4.1456558;0.0004704;8.0000000;0.0000000
5.9980919;-2.4283909;-5.3300389;4.1457482;0.0004532;8.0000000;0.0000000
6.1980283;-2.5357093;-5.4987318;4.1458370;0.0004358;8.0000000;0.0000000
6.3979647;-2.6430131;-5.6674341;4.1459224;0.0004185;8.0000000;0.0000000
6.5979011;-2.7503028;-5.8361453;4.1460044;0.0004010;8.0000000;0.0000000
6.7978375;-2.8575790;-6.0048652;4.1460828;0.0003834;8.0000000;0.0000000
6.9977739;-2.9648422;-6.1735933;4.1461577;0.0003658;8.0000000;0.0000000
7.1977103;-3.0720931;-6.3423292;4.1462290;0.0003479;8.0000000;0.0000000
7.3976467;-3.1793322;-6.5110726;4.1462968;0.0003301;8.0000000;0.0000000
7.5975831;-3.2865602;-6.6798230;4.1463610;0.0003121;8.0000000;0.0000000
7.7975195;-3.3937777;-6.8485802;4.1464216;0.0002940;8.0000000;0.0000000
7.9974559;-3.5009853;-7.0173437;4.1464786;0.0002759;8.0000000;0.0000000
8.1973923;-3.6081835;-7.1861130;4.1465319;0.0002575;8.0000000;0.0000000
8.3973287;-3.7153731;-7.3548879;4.1465815;0.0002392;8.0000000;0.0000000
8.5972651;-3.8225545;-7.5236679;4.1466275;0.0002207;8.0000000;0.0000000
8.7972015;-3.9297286;-7.6924526;4.1466698;0.0002020;8.0000000;0.0000000
8.9971379;-4.0368958;-7.8612417;4.1467083;0.0001833;8.0000000;0.0000000
9.1970743;-4.1440568;-8.0300347;4.1467430;0.0001644;8.0000000;0.0000000
9.3970107;-4.2512123;-8.1988312;4.1467740;0.0001454;8.0000000;0.0000000
9.5969471;-4.3583629;-8.3676309;4.1468012;0.0001263;8.0000000;0.0000000
9.7968835;-4.4655092;-8.5364332;4.1468245;0.0001070;8.0000000;0.0000000
9.9968199;-4.5726520;-8.7052378;4.1468440;0.0000877;8.0000000;0.0000000
10.1967563;-4.6797917;-8.8740443;4.1468595;0.0000680;8.0000000;0.0000000
10.3966927;-4.7869292;-9.0428523;4.1468712;0.0000484;8.0000000;0.0000000
10.5966291;-4.8940650;-9.2116613;4.1468789;0.0000286;8.0000000;0.0000000
10.7965655;-5.0011999;-9.3804709;4.1468826;0.0000086;8.0000000;0.0000000
10.9965019;-5.1083344;-9.5492807;4.1468823;-0.0000115;8.0000000;0.0000000
11.1964383;-5.2154694;-9.7180902;4.1468780;-0.0000318;8.0000000;0.0000000
11.3963747;-5.3226054;-9.8868991;4.1468695;-0.0000522;8.0000000;0.0000000
11.5963111;-5.4297432;-10.0557069;4.1468571;-0.0000728;8.0000000;0.0000000
11.7962475;-5.5368835;-10.2245130;4.1468404;-0.0000936;8.0000000;0.0000000
11.9961839;-5.6440269;-10.3933172;4.1468196;-0.0001144;8.0000000;0.0000000
12.1961203;-5.7511742;-10.5621189;4.1467946;-0.0001356;8.0000000;0.0000000
12.3960567;-5.8583261;-10.7309178;4.1467654;-0.0001568;8.0000000;0.0000000
12.5959931;-5.9654832;-10.8997132;4.1467319;-0.0001782;8.0000000;0.0000000
12.7959295;-6.0726464;-11.0685049;4.1466941;-0.0001998;8.0000000;0.0000000
12.9958659;-6.1798163;-11.2372923;4.1466520;-0.0002214;8.0000000;0.0000000
13.1958023;-6.2869937;-11.4060748;4.1466055;-0.0002435;8.0000000;0.0000000
13.3957387;-6.3941793;-11.5748523;4.1465547;-0.0002655;8.0000000;0.0000000
13.5956751;-6.5013738;-11.7436240;4.1464994;-0.0002877;8.0000000;0.0000000
13.7956115;-6.6085781;-11.9123895;4.1464396;-0.0003101;8.0000000;0.0000000
13.9955479;-6.7157928;-12.0811484;4.1463753;-0.0003326;8.0000000;0.0000000
14.1954842;-6.8230188;-12.2499002;4.1463066;-0.0003554;8.0000000;0.0000000
14.3954206;-6.9302567;-12.4186443;4.1462332;-0.0003782;8.0000000;0.0000000
14.5953570;-7.0375074;-12.5873803;4.1461553;-0.0004012;8.0000000;0.0000000
14.7952934;-7.1447717;-12.7561078;4.1460728;-0.0004244;8.0000000;0.0000000
14.9952298;-7.2520502;-12.9248261;4.1459856;-0.0004478;8.0000000;0.0000000
15.1951662;-7.3593440;-13.0935348;4.1458923;-0.0004857;8.0000000;0.0000000
15.3951026;-7.4666541;-13.2622330;4.1457914;-0.0005236;8.0000000;0.0000000
15.5950390;-7.5739820;-13.4309200;4.1456793;-0.0006328;8.0000000;0.0000000
15.7949754;-7.6813313;-13.5995933;4.1455351;-0.0008097;8.0000000;0.0000000
15.9949118;-7.7887079;-13.7682492;4.1453555;-0.0009902;8.0000000;0.0000000
16.1948482;-7.8961190;-13.9368825;4.1451133;-0.0014331;8.0000000;0.0000000
16.3947846;-8.0035788;-14.1054856;4.1447825;-0.0018761;8.0000000;0.0000000
16.5947210;-8.1111013;-14.2740477;4.1443691;-0.0022024;8.0000000;0.0000000
16.7946574;-8.2186977;-14.4425626;4.1439072;-0.0024184;8.0000000;0.0000000
16.9945938;-8.3263771;-14.6110277;4.1434020;-0.0026326;8.0000000;0.0000000
17.1945302;-8.4341422;-14.7794327;4.1428662;-0.0027277;8.0000000;0.0000000
17.3944666;-8.5420008;-14.9477819;4.1423113;-0.0028227;8.0000000;0.0000000
17.5944030;-8.6499542;-15.1160695;4.1417353;-0.0029590;8.0000000;0.0000000
17.7943394;-8.7580068;-15.2842926;4.1411262;-0.0031343;8.0000000;0.0000000
17.9942758;-8.8661660;-15.4524499;4.1404820;-0.0033120;8.0000000;0.0000000
18.1942122;-8.9744358;-15.6205325;4.1397866;-0.0036441;8.0000000;0.0000000
18.3941486;-9.0828289;-15.7885375;4.1390248;-0.0039762;8.0000000;0.0000000
18.5940850;-9.1913553;-15.9564560;4.1381960;-0.0043205;8.0000000;0.0000000
18.7940214;-9.3000266;-16.1242804;4.1372966;-0.0046761;8.0000000;0.0000000
18.9939578;-9.4088553;-16.2920040;4.1363262;-0.0050312;8.0000000;0.0000000
19.1938942;-9.5178515;-16.4596167;4.1352881;-0.0053526;8.0000000;0.0000000
19.3938306;-9.6270277;-16.6271137;4.1341858;-0.0056741;8.0000000;0.0000000
19.5937670;-9.7363937;-16.7944864;4.1330195;-0.0059888;8.0000000;0.0000000
19.7937034;-9.8459599;-16.9617279;4.1317913;-0.0062972;8.0000000;0.0000000
19.9936398;-9.9557371;-17.1288322;4.1305015;-0.0066055;8.0000000;0.0000000
20.1935762;-10.0657341;-17.2957901;4.1291503;-0.0069103;8.0000000;0.0000000
20.3935126;-10.1759622;-17.4625967;4.1277382;-0.0072152;8.0000000;0.0000000
20.5934490;-10.2864306;-17.6292439;4.1262652;-0.0075195;8.0000000;0.0000000
20.7933854;-10.3971494;-17.7957246;4.1247314;-0.0078232;8.0000000;0.0000000
20.9933218;-10.5081289;-17.9620326;4.1231369;-0.0081269;8.0000000;0.0000000
21.1932582;-10.6193778;-18.1281592;4.1214818;-0.0084297;8.0000000;0.0000000
21.3931946;-10.7309069;-18.2940986;4.1197661;-0.0087326;8.0000000;0.0000000
21.5931310;-10.8427256;-18.4598429;4.1179898;-0.0090351;8.0000000;0.0000000
21.7930674;-10.9548433;-18.6253848;4.1161532;-0.0093373;8.0000000;0.0000000
21.9930038;-11.0672701;-18.7907175;4.1142561;-0.0096394;8.0000000;0.0000000
22.1929402;-11.1800151;-18.9558328;4.1122987;-0.0099410;8.0000000;0.0000000
22.3928766;-11.2930882;-19.1207238;4.1102810;-0.0102426;8.0000000;0.0000000
22.5928130;-11.4064987;-19.2853830;4.1082030;-0.0105436;8.0000000;0.0000000
22.7927494;-11.5202561;-19.4498027;4.1060649;-0.0108442;8.0000000;0.0000000
22.9926858;-11.6343696;-19.6139752;4.1038667;-0.0111449;8.0000000;0.0000000
23.1926222;-11.7488488;-19.7778933;4.1016083;-0.0114457;8.0000000;0.0000000
23.3925586;-11.8637027;-19.9415488;4.0992899;-0.0117465;8.0000000;0.0000000
23.5924949;-11.9789407;-20.1049342;4.0969113;-0.0120469;8.0000000;0.0000000
23.7924313;-12.0945719;-20.2680416;4.0944727;-0.0123468;8.0000000;0.0000000
23.9923677;-12.2106050;-20.4308626;4.0919741;-0.0126469;8.0000000;0.0000000
24.1923041;-12.3270502;-20.5933906;4.0894156;-0.0129465;8.0000000;0.0000000
24.3922405;-12.4439151;-20.7556159;4.0867971;-0.0132462;8.0000000;0.0000000
24.5921769;-12.5612094;-20.9175314;4.0841188;-0.0135457;8.0000000;0.0000000
24.7921133;-12.6789420;-21.0791287;4.0813806;-0.0138450;8.0000000;0.0000000
24.9920497;-12.7971207;-21.2403987;4.0785825;-0.0141445;8.0000000;0.0000000
25.1919861;-12.9157561;-21.4013353;4.0757246;-0.0144435;8.0000000;0.0000000
25.3919225;-13.0348550;-21.5619275;4.0728070;-0.0147426;8.0000000;0.0000000
25.5918589;-13.1544270;-21.7221683;4.0698295;-0.0150416;8.0000000;0.0000000
25.7917953;-13.2744805;-21.8820491;4.0667922;-0.0153404;8.0000000;0.0000000
25.9917317;-13.3950228;-22.0415595;4.0636953;-0.0156394;8.0000000;0.0000000
26.1916681;-13.5160650;-22.2006944;4.0605385;-0.0159380;8.0000000;0.0000000
26.3916045;-13.6376124;-22.3594412;4.0573221;-0.0162367;8.0000000;0.0000000
26.5915409;-13.7596749;-22.5177932;4.0540459;-0.0165353;8.0000000;0.0000000
26.7914773;-13.8822605;-22.6757410;4.0507100;-0.0168338;8.0000000;0.0000000
26.9914137;-14.0053757;-22.8332736;4.0473145;-0.0171325;8.0000000;0.0000000
27.1913501;-14.1290319;-22.9903864;4.0438593;-0.0174308;8.0000000;0.0000000
27.3912865;-14.2532334;-23.1470652;4.0403444;-0.0177293;8.0000000;0.0000000
27.5912229;-14.3779899;-23.3033035;4.0367698;-0.0180276;8.0000000;0.0000000
27.7911593;-14.5033092;-23.4590915;4.0331356;-0.0183258;8.0000000;0.0000000
27.9910957;-14.6291965;-23.6144170;4.0294418;-0.0186243;8.0000000;0.0000000
28.1910321;-14.7556643;-23.7692762;4.0256883;-0.0189223;8.0000000;0.0000000
28.3909685;-14.8827150;-23.9236534;4.0218753;-0.0192207;8.0000000;0.0000000
28.5909049;-15.0103586;-24.0775419;4.0180025;-0.0195187;8.0000000;0.0000000
28.7908413;-15.1386023;-24.2309317;4.0140702;-0.0198167;8.0000000;0.0000000
28.9907777;-15.2674505;-24.3838095;4.0100784;-0.0201149;8.0000000;0.0000000
29.1907141;-15.3969158;-24.5361720;4.0060269;-0.0204127;8.0000000;0.0000000
29.3906505;-15.5269996;-24.6880020;4.0019159;-0.0207108;8.0000000;0.0000000
29.5905869;-15.6577116;-24.8392929;3.9977452;-0.0210095;8.0000000;0.0000000
29.7905233;-15.7890586;-24.9900339;3.9935147;-0.0213087;8.0000000;0.0000000
29.9904597;-15.9210440;-25.1402112;3.9892244;-0.0216084;8.0000000;0.0000000
30.1903961;-16.0536809;-25.2898212;3.9848740;-0.0219091;8.0000000;0.0000000
30.3903325;-16.1869691;-25.4388457;3.9804635;-0.0222104;8.0000000;0.0000000
30.5902689;-16.3209187;-25.5872778;3.9759926;-0.0225124;8.0000000;0.0000000
30.7902053;-16.4555355;-25.7351061;3.9714613;-0.0228152;8.0000000;0.0000000
