# 7c82aefe-47b4-4126-9b48-5e2ced0803ef
# 603fd3987364b09f9aacb70d1ed12c268e24dd56
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000;0.4981437;0.1949189;2.1896548;0.0032001;8.0000000;0.0000000
0.1999773;0.3820838;0.3577723;2.1902869;0.0031220;8.0000000;0.0000000
0.3999546;0.2659226;0.5205525;2.1909035;0.0030439;8.0000000;0.0000000
0.5999319;0.1496622;0.6832622;2.1915043;0.0029649;8.0000000;0.0000000
0.7999091;0.0333053;0.8459031;2.1920892;0.0028849;8.0000000;0.0000000
0.9998864;-0.0831451;1.0084762;2.1926581;0.0028049;8.0000000;0.0000000
1.1998637;-0.1996872;1.1709848;2.1932110;0.0027242;8.0000000;0.0000000
1.3998410;-0.3163174;1.3334294;2.1937477;0.0026434;8.0000000;0.0000000
1.5998183;-0.4330335;1.4958124;2.1942682;0.0025623;8.0000000;0.0000000
1.7997956;-0.5498330;1.6581358;2.1947724;0.0024807;8.0000000;0.0000000
1.9997729;-0.6667126;1.8204006;2.1952604;0.0023991;8.0000000;0.0000000
2.1997502;-0.7836706;1.9826102;2.1957319;0.0023168;8.0000000;0.0000000
2.3997274;-0.9007033;2.1447650;2.1961870;0.0022345;8.0000000;0.0000000
2.5997047;-1.0178086;2.3068676;2.1966256;0.0021520;8.0000000;0.0000000
2.7996820;-1.1349837;2.4689200;2.1970477;0.0020691;8.0000000;0.0000000
2.9996593;-1.2522255;2.6309233;2.1974531;0.0019862;8.0000000;0.0000000
3.1996366;-1.3695322;2.7928808;2.1978420;0.0019028;8.0000000;0.0000000
3.3996139;-1.4869002;2.9547932;2.1982142;0.0018194;8.0000000;0.0000000
3.5995912;-1.6043271;3.1166630;2.1985697;0.0017358;8.0000000;0.0000000
3.7995685;-1.7218103;3.2784921;2.1989084;0.0016519;8.0000000;0.0000000
3.9995457;-1.8393466;3.4402820;2.1992304;0.0015680;8.0000000;0.0000000
4.1995230;-1.9569342;3.6020356;2.1995355;0.0014837;8.0000000;0.0000000
4.3995003;-2.0745694;3.7637540;2.1998238;0.0013994;8.0000000;0.0000000
4.5994776;-2.1922499;3.9254395;2.2000952;0.0013148;8.0000000;0.0000000
