# 64710187-dfbe-46fa-b233-42c6c6c6662f
# 603fd3987364b09f9aacb70d1ed12c268e24dd56
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000;0.1498837;0.7210959;0.0746478;-0.0108128;7.9403994;1.8246763
0.1999285;0.3492710;0.7357923;0.0725102;-0.0105710;7.9862101;0.5513167
0.3998569;0.5486892;0.7500674;0.0704209;-0.0103292;8.0000000;0.0000000
0.5997854;0.7481364;0.7639305;0.0683799;-0.0100876;8.0000000;0.0000000
0.7997138;0.9476111;0.7773915;0.0663873;-0.0098460;8.0000000;0.0000000
0.9996423;1.1471121;0.7904597;0.0644430;-0.0096044;8.0000000;0.0000000
1.1995707;1.3466377;0.8031448;0.0625470;-0.0093615;8.0000000;0.0000000
1.3994992;1.5461867;0.8154565;0.0606997;-0.0091187;8.0000000;0.0000000
1.5994276;1.7457578;0.8274043;0.0589009;-0.0088755;8.0000000;0.0000000
1.7993561;1.9453498;0.8389980;0.0571508;-0.0086321;8.0000000;0.0000000
1.9992845;2.1449615;0.8502472;0.0554493;-0.0083887;8.0000000;0.0000000
2.1992130;2.3445918;0.8611617;0.0537966;-0.0081442;8.0000000;0.0000000
2.3991414;2.5442396;0.8717511;0.0521928;-0.0078998;8.0000000;0.0000000
2.5990699;2.7439039;0.8820251;0.0506378;-0.0076548;8.0000000;0.0000000
2.7989983;2.9435837;0.8919936;0.0491320;-0.0074094;8.0000000;0.0000000
2.9989268;3.1432779;0.9016662;0.0476751;-0.0071640;8.0000000;0.0000000
3.1988552;3.3429860;0.9110529;0.0462675;-0.0069175;8.0000000;0.0000000
3.3987837;3.5427067;0.9201633;0.0449091;-0.0066710;8.0000000;0.0000000
3.5987121;3.7424395;0.9290074;0.0436001;-0.0064240;8.0000000;0.0000000
3.7986406;3.9421835;0.9375949;0.0423405;-0.0061764;8.0000000;0.0000000
3.9985690;4.1419377;0.9459357;0.0411304;-0.0059288;8.0000000;0.0000000
4.1984975;4.3417020;0.9540398;0.0399699;-0.0056802;8.0000000;0.0000000
4.3984259;4.5414751;0.9619171;0.0388591;-0.0054316;8.0000000;0.0000000
4.5983544;4.7412568;0.9695773;0.0377981;-0.0051824;8.0000000;0.0000000
4.7982828;4.9410463;0.9770306;0.0367869;-0.0049327;8.0000000;0.0000000
4.9982113;5.1408428;0.9842869;0.0358257;-0.0046831;8.0000000;0.0000000
5.1981397;5.3406465;0.9913560;0.0349145;-0.0044324;8.0000000;0.0000000
5.3980682;5.5404560;0.9982482;0.0340534;-0.0041818;8.0000000;0.0000000
5.5979966;5.7402714;1.0049732;0.0332424;-0.0039306;8.0000000;0.0000000
5.7979251;5.9400920;1.0115413;0.0324817;-0.0036791;8.0000000;0.0000000
5.9978535;6.1399170;1.0179623;0.0317713;-0.0034275;8.0000000;0.0000000
6.1977820;6.3397469;1.0242465;0.0311112;-0.0031752;8.0000000;0.0000000
6.3977104;6.5395805;1.0304038;0.0305017;-0.0029228;8.0000000;0.0000000
6.5976389;6.7394176;1.0364443;0.0299426;-0.0026701;8.0000000;0.0000000
6.7975673;6.9392581;1.0423781;0.0294340;-0.0024170;8.0000000;0.0000000
6.9974958;7.1391010;1.0482153;0.0289761;-0.0021639;8.0000000;0.0000000
7.1974242;7.3389470;1.0539661;0.0285688;-0.0019105;8.0000000;0.0000000
7.3973527;7.5387948;1.0596406;0.0282122;-0.0016570;8.0000000;0.0000000
7.5972811;7.7386446;1.0652489;0.0279063;-0.0014029;8.0000000;0.0000000
7.7972096;7.9384960;1.0708011;0.0276512;-0.0011482;8.0000000;0.0000000
7.9971380;8.1383484;1.0763074;0.0274471;-0.0008936;8.0000000;0.0000000
8.1970665;8.3382022;1.0817780;0.0272939;-0.0006396;8.0000000;0.0000000
8.3969949;8.5380564;1.0872231;0.0271914;-0.0003855;8.0000000;0.0000000
8.5969234;8.7379111;1.0926527;0.0271397;-0.0001312;8.0000000;0.0000000
8.7968518;8.9377660;1.0980772;0.0271389;0.0001233;8.0000000;0.0000000
8.9967803;9.1376205;1.1035065;0.0271890;0.0003778;8.0000000;0.0000000
9.1967087;9.3374751;1.1089509;0.0272900;0.0006324;8.0000000;0.0000000
9.3966372;9.5373286;1.1144207;0.0274419;0.0008870;8.0000000;0.0000000
9.5965656;9.7371812;1.1199258;0.0276447;0.0011415;8.0000000;0.0000000
9.7964941;9.9370327;1.1254766;0.0278984;0.0013961;8.0000000;0.0000000
9.9964225;10.1368823;1.1310831;0.0282029;0.0016506;8.0000000;0.0000000
10.1963510;10.3367304;1.1367556;0.0285584;0.0019050;8.0000000;0.0000000
10.3962794;10.5365762;1.1425042;0.0289647;0.0021594;8.0000000;0.0000000
10.5962079;10.7364194;1.1483391;0.0294218;0.0024137;8.0000000;0.0000000
10.7961363;10.9362599;1.1542704;0.0299298;0.0026679;8.0000000;0.0000000
10.9960648;11.1360970;1.1603084;0.0304886;0.0029221;8.0000000;0.0000000
11.1959932;11.3359309;1.1664630;0.0310982;0.0031760;8.0000000;0.0000000
11.3959217;11.5357606;1.1727446;0.0317586;0.0034299;8.0000000;0.0000000
11.5958501;11.7355859;1.1791632;0.0324697;0.0036837;8.0000000;0.0000000
11.7957786;11.9354066;1.1857289;0.0332315;0.0039372;8.0000000;0.0000000
11.9957070;12.1352218;1.1924520;0.0340440;0.0041907;8.0000000;0.0000000
12.1956355;12.3350316;1.1993424;0.0349072;0.0044441;8.0000000;0.0000000
12.3955639;12.5348350;1.2064104;0.0358210;0.0046975;8.0000000;0.0000000
12.5954924;12.7346318;1.2136660;0.0367854;0.0049498;8.0000000;0.0000000
12.7954208;12.9344213;1.2211193;0.0378001;0.0052010;8.0000000;0.0000000
