# aab1f4d6-cec7-4d53-ab30-6c125b3a8685
# 603fd3987364b09f9aacb70d1ed12c268e24dd56
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000;-0.7576662;0.3270904;1.1950792;-0.0001020;8.0000000;0.0000000
0.1999948;-0.6842783;0.5131338;1.1950598;-0.0000920;8.0000000;0.0000000
0.3999896;-0.6108870;0.6991758;1.1950424;-0.0000821;8.0000000;0.0000000
0.5999844;-0.5374927;0.8852167;1.1950270;-0.0000722;8.0000000;0.0000000
0.7999792;-0.4640957;1.0712564;1.1950135;-0.0000625;8.0000000;0.0000000
0.9999740;-0.3906963;1.2572952;1.1950020;-0.0000528;8.0000000;0.0000000
1.1999688;-0.3172950;1.4433334;1.1949924;-0.0000433;8.0000000;0.0000000
1.3999636;-0.2438921;1.6293708;1.1949847;-0.0000337;8.0000000;0.0000000
1.5999584;-0.1704879;1.8154077;1.1949789;-0.0000243;8.0000000;0.0000000
1.7999531;-0.0970828;2.0014443;1.1949750;-0.0000150;8.0000000;0.0000000
1.9999479;-0.0236772;2.1874806;1.1949729;-0.0000056;8.0000000;0.0000000
2.1999427;0.0497287;2.3735170;1.1949727;0.0000035;8.0000000;0.0000000
2.3999375;0.1231344;2.5595533;1.1949743;0.0000127;8.0000000;0.0000000
2.5999323;0.1965397;2.7455898;1.1949778;0.0000217;8.0000000;0.0000000
2.7999271;0.2699441;2.9316267;1.1949830;0.0000307;8.0000000;0.0000000
2.9999219;0.3433474;3.1176639;1.1949900;0.0000396;8.0000000;0.0000000
3.1999167;0.4167493;3.3037018;1.1949986;0.0000466;8.0000000;0.0000000
3.3999115;0.4901494;3.4897403;1.1950086;0.0000535;8.0000000;0.0000000
3.5999063;0.5635475;3.6757797;1.1950198;0.0000567;8.0000000;0.0000000
3.7999011;0.6369435;3.8618198;1.1950311;0.0000562;8.0000000;0.0000000
3.9998959;0.7103374;4.0478608;1.1950423;0.0000557;8.0000000;0.0000000
4.1998907;0.7837293;4.2339026;1.1950532;0.0000533;8.0000000;0.0000000
4.3998855;0.8571192;4.4199452;1.1950636;0.0000508;8.0000000;0.0000000
4.5998803;0.9305072;4.6059885;1.1950735;0.0000483;8.0000000;0.0000000
4.7998751;1.0038934;4.7920326;1.1950829;0.0000456;8.0000000;0.0000000
4.9998698;1.0772779;4.9780772;1.1950918;0.0000430;8.0000000;0.0000000
5.1998646;1.1506608;5.1641226;1.1951002;0.0000412;8.0000000;0.0000000
5.3998594;1.2240422;5.3501685;1.1951082;0.0000394;8.0000000;0.0000000
5.5998542;1.2974221;5.5362150;1.1951160;0.0000397;8.0000000;0.0000000
